school,city,county,applied,admitted,attended,tot_enrolled,grade_12,is_charter,pct_free_reduced,dist_to_ucb_miles
MURRIETA VALLEY HIGH SCHOOL,Murrieta,Riverside,34,5,NA,2173,552,N,0.301886792,409.8969704839334
NAPA HIGH SCHOOL,Napa,Napa,34,7,5,1757,482,N,0.595332954,30.237877694073212
NATHANIEL NARBONNE HIGH SCHOOL,Harbor City,Los Angeles,54,5,NA,1667,411,N,0.734253149,357.717981041649
NATOMAS CHARTER SCHOOL,Sacramento,Sacramento,23,4,4,1863,139,Y,0.253354804,67.04919404226737
NATOMAS HIGH SCHOOL,Sacramento,Sacramento,25,NA,NA,1863,139,Y,0.253354804,67.04919404226737
NATOMAS PACIFIC PATHWAYS PREP,Sacramento,Sacramento,34,6,3,623,150,Y,0.327447833,66.5194257328176
NAVA COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,26,4,NA,613,98,N,0.985318108,348.5073376428965
NEVADA UNION HIGH SCHOOL,Grass Valley,Nevada,19,NA,NA,1457,282,N,0.384351407,114.72464851057512
NEW DESIGNS CHARTER SCHOOL,Los Angeles,Los Angeles,11,NA,NA,797,82,Y,0.710163112,346.5063489783071
NEW OPEN WORLD ACADEMY,Los Angeles,Los Angeles,15,NA,NA,935,82,N,0.937967914,344.24182652448104
NEW TECHNOLOGY HIGH SCHOOL,Napa,Napa,11,NA,NA,364,100,N,NA,29.895324005370284
NEW WEST CHARTER SCHOOL,Los Angeles,Los Angeles,69,7,4,998,136,Y,0.179358717,339.8494391579638
NEWARK MEMORIAL HIGH SCHOOL,Newark,Alameda,64,11,8,1407,364,N,0.375977257,28.007148340605717
NEWBURY PARK HIGH SCHOOL,Newbury Park,Ventura,80,11,5,2080,565,N,0.170673077,314.6143989947401
NEWPORT HARBOR HIGH SCHOOL,Newport Beach,Orange,66,8,3,2217,586,N,0.343707713,381.43566580056006
NIPOMO HIGH SCHOOL,Nipomo,San Luis Obispo,7,NA,NA,867,204,N,0.594002307,218.3363525419233
NOGALES HIGH SCHOOL,La Puente,Los Angeles,31,3,NA,1608,417,N,0.763681592,361.8990256704287
NORCO HIGH SCHOOL,Norco,Riverside,9,NA,NA,2026,477,N,0.447186575,379.9262767497186
NORDHOFF HIGH SCHOOL,Ojai,Ventura,17,NA,NA,620,163,N,0.353225806,289.879051758168
NORTE VISTA SENIOR HIGH SCHOOL,Riverside,Riverside,19,6,4,1905,472,N,0.776902887,380.9451380032384
NORTH HIGH SCHOOL,Bakersfield,Kern,10,NA,NA,2148,488,N,0.800744879,246.2388440194563
NORTH HIGH SCHOOL,Torrance,Los Angeles,62,12,4,1811,457,N,0.348978465,353.3501543066051
NORTH HOLLYWOOD HIGH SCHOOL,North Hollywood,Los Angeles,138,25,10,2482,632,N,0.683319903,335.19103772415286
NORTH MONTEREY COUNTY HIGH SCH,Castroville,Monterey,29,5,NA,1284,314,N,0.767912773,80.71611628051097
NORTH SALINAS HIGH SCHOOL,Salinas,Monterey,51,8,4,2125,503,N,0.786352941,87.40306923424676
NORTH TAHOE HIGH SCHOOL,Tahoe City,Placer,20,3,NA,491,126,N,0.291242363,147.35951938653173
NORTHCOAST PREPARATORY ACADEMY,Arcata,Humboldt,7,NA,NA,130,14,Y,0.161538462,228.29809581617937
NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,119,13,8,1535,374,N,0.09771987,14.013460460855676
NORTHRIDGE ACADEMY HIGH SCHOOL,Northridge,Los Angeles,14,NA,NA,916,212,N,0.762008734,326.0754135439242
NORTHVIEW HIGH SCHOOL,Covina,Los Angeles,21,3,NA,1264,310,N,0.667721519,356.55910705896434
NORTHWOOD HIGH SCHOOL,Irvine,Orange,287,34,12,2310,574,N,0.186147186,381.6945948329925
NORTON SCIENCE & LANGUAGE ACADEMY,San Bernardino,San Bernardino,5,NA,NA,NA,NA,NA,NA,NA
NORWALK HIGH SCHOOL,Norwalk,Los Angeles,35,NA,NA,1980,446,N,0.702020202,359.7051527076423
NOVA ACADEMY EARLY COLLEGE HS,Santa Ana,Orange,10,NA,NA,288,49,Y,0.788194444,376.2376262458304
NOVATO HIGH SCHOOL,Novato,Marin,54,10,5,1393,374,N,0.357501795,22.7757352415683
NUVIEW BRIDGE EARLY COLLEGE HS,Nuevo,Riverside,7,NA,NA,675,133,Y,0.607407407,400.55135682397975
OAK GROVE HIGH SCHOOL,San Jose,Santa Clara,53,3,3,1417,389,N,0.439661256,49.21674651697109
OAK HILLS HIGH SCHOOL,Oak Hills,San Bernardino,27,5,NA,2513,617,N,0.474731397,363.08205095584935
OAK PARK HIGH SCHOOL,Oak Park,Ventura,123,8,4,1410,323,N,0.085106383,321.14888479000246
OAK PARK INDEPENDENT SCH,Oak Park,Ventura,7,NA,NA,193,43,N,NA,321.6162300797681
OAK RIDGE HIGH SCHOOL,El Dorado Hills,El Dorado,121,15,12,2375,629,N,0.084210526,85.34945300780056
OAKDALE HIGH SCHOOL,Oakdale,Stanislaus,13,NA,NA,1607,375,N,0.346608587,77.02771599182651
OAKLAND CHARTER HIGH SCHOOL,Oakland,Alameda,37,13,8,1813,456,N,0.56260342,2.825631194186814
OAKLAND HIGH SCHOOL,Oakland,Alameda,92,14,8,1813,456,N,0.56260342,2.825631194186814
OAKLAND INTERNATIONAL HIGH SCH,Oakland,Alameda,15,NA,NA,1813,456,N,0.56260342,2.825631194186814
OAKLAND MILITARY INST COL PREP,Oakland,Alameda,19,NA,NA,518,65,Y,0.766409266,3.052849772193394
OAKLAND SCHOOL FOR THE ARTS,Oakland,Alameda,26,3,NA,780,95,Y,0.221794872,4.506038815747565
OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda,190,27,12,1813,456,N,0.56260342,2.825631194186814
OAKLAND UNITY HIGH SCHOOL,Oakland,Alameda,23,NA,NA,304,80,Y,0.782894737,7.926007872540701
OAKMONT HIGH SCHOOL,Roseville,Placer,35,6,5,1323,327,N,0.315192744,80.23262254143378
OCEAN GROVE CHARTER SCHOOL,Placerville,El Dorado,7,NA,NA,NA,NA,NA,NA,NA
OCEAN VIEW HIGH SCHOOL,Huntington Beach,Orange,24,4,NA,1216,309,N,0.646381579,373.4052168889905
OCEANA HIGH SCHOOL,Pacifica,San Mateo,53,7,3,491,122,N,NA,20.47080332011956
OCEANSIDE HIGH SCHOOL,Oceanside,San Diego,36,4,NA,1828,401,N,0.564551422,423.8916601800363
ODYSSEY STEM ACADEMY,Lakewood,Los Angeles,30,NA,NA,388,110,N,0.719072165,360.4156991977364
OFARRELL CHARTER SCHOOL,San Diego,San Diego,25,NA,NA,1819,122,Y,0.515667949,461.869249347359
OLYMPIAN HIGH SCHOOL,Chula Vista,San Diego,89,6,4,2324,603,N,0.200946644,470.3235809888649
ONTARIO HIGH SCHOOL,Ontario,San Bernardino,33,3,NA,2121,554,N,0.749646393,368.80270096500453
OPTIONS FOR YOUTH - ACTON-FONTANA 2,Fontana,San Bernardino,7,NA,NA,NA,NA,NA,NA,NA
OPTIONS FOR YOUTH DUARTE - PASADENA,Pasadena,Los Angeles,12,NA,NA,3385,529,Y,0.769867061,347.3850839126762
ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange,192,44,21,2288,397,Y,0.146853147,376.09636136917675
ORANGE COVE HIGH SCHOOL,Orange Cove,Fresno,9,3,NA,631,110,N,0.874801902,183.31123064972027
ORANGE GLEN HIGH SCHOOL,Escondido,San Diego,31,7,5,1871,459,N,0.76322822,439.9010554901744
ORANGE HIGH SCHOOL,Orange,Orange,12,NA,NA,1748,399,N,0.732265446,374.55197028739286
ORANGE VISTA HIGH SCHOOL,Perris,Riverside,55,10,NA,2474,644,N,0.663702506,396.9041022190869
ORCUTT ACADEMY CHARTER HIGH SCHOOL,Orcutt,Santa Barbara,22,4,NA,778,124,Y,0.303341902,231.30265381685516
ORESTIMBA HIGH SCHOOL,Newman,Stanislaus,18,NA,NA,1002,232,N,0.482035928,77.26438754647961
ORLAND HIGH SCHOOL,Orland,Glenn,11,NA,NA,806,206,N,0.6191067,129.85277415272225
OROSI HIGH SCHOOL,Orosi,Tulare,11,NA,NA,1084,238,N,0.891143911,187.39276122498367
OROVILLE HIGH SCHOOL,Oroville,Butte,11,NA,NA,870,214,N,0.73908046,119.79497903937435
ORTHOPAEDIC HOSPITAL MAGNET HS,Los Angeles,Los Angeles,29,6,4,679,170,N,NA,346.75982135481877
OSCAR DE LA HOYA ANIMO CHARTER,Los Angeles,Los Angeles,22,5,NA,550,128,Y,0.903636364,349.47691338797586
OTAY RANCH HIGH SCHOOL,Chula Vista,San Diego,87,11,7,2546,652,N,0.242340927,468.8044915860877
OXFORD ACADEMY,Cypress,Orange,120,17,6,1293,194,N,0.281515855,366.0155602591859
OXFORD DAY ACADEMY,East Palo Alto,San Mateo,6,NA,NA,105,42,Y,0.523809524,28.93762197772275
OXNARD HIGH SCHOOL,Oxnard,Ventura,47,5,NA,2593,689,N,0.586193598,304.43094823795786
OXNARD MIDDLE COLLEGE HIGH SCH,Oxnard,Ventura,17,NA,NA,195,45,N,NA,309.22384081091695
PACHECO HIGH SCHOOL,Los Banos,Merced,37,4,NA,1786,456,N,0.638857783,96.71517173317054
PACIFIC COAST ACADEMY,Poway,San Diego,6,NA,NA,5612,125,Y,0.321275837,450.2521922753479
PACIFIC COLLEGIATE SCHOOL,Santa Cruz,Santa Cruz,36,10,7,540,84,Y,0.1,63.95198265753202
PACIFIC GROVE HIGH SCHOOL,Pacific Grove,Monterey,42,6,3,520,115,N,0.163461538,89.1386594749687
PACIFIC HIGH SCHOOL,San Bernardino,San Bernardino,27,3,NA,1222,274,N,0.884615385,380.45806556493466
PACIFIC LAW ACADEMY,Stockton,San Joaquin,8,NA,NA,198,48,Y,0.570707071,51.62755663450328
PACIFICA HIGH SCHOOL,Garden Grove,Orange,45,NA,NA,1640,433,N,0.38597561,369.3760296282633
PACIFICA HIGH SCHOOL,Oxnard,Ventura,44,10,7,2928,769,N,0.678620219,305.70495549513447
PAJARO VALLEY HS,Watsonville,Santa Cruz,34,5,NA,1428,325,N,0.664565826,71.14260734243999
PALISADES CHARTER HIGH SCHOOL,Pacific Palisades,Los Angeles,265,38,16,2991,765,Y,0.254429957,336.64568263516594
PALM DESERT HIGH SCHOOL,Palm Desert,Riverside,54,11,5,2039,474,N,NA,437.0380090627324
PALM SPRINGS HIGH SCHOOL,Palm Springs,Riverside,31,4,NA,1508,369,N,0.942307692,426.2432736554915
PALMDALE ACADEMY CHARTER,Palmdale,Los Angeles,16,NA,NA,2358,664,N,0.702714165,325.41224106022406
PALMDALE AEROSPACE ACADEMY,Palmdale,Los Angeles,31,6,NA,2213,199,Y,0.657026661,325.86215662210907
PALMDALE HIGH SCHOOL,Palmdale,Los Angeles,22,3,NA,2358,664,N,0.702714165,325.41224106022406
PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,285,41,26,1932,520,N,0.100414079,30.535497851772863
PALOMA VALLEY HIGH SCHOOL,Menifee,Riverside,26,5,3,2593,676,N,0.47743926,406.3768179772068
PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles,117,25,12,1419,367,N,0.062720226,355.12096056402765
PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,236,42,25,2175,561,N,0.098850575,356.7300504234922
PANORAMA HIGH SCHOOL,Panorama City,Los Angeles,26,11,8,1420,364,N,0.937323944,330.2768541071267
PARADISE HIGH SCHOOL,Paradise,Butte,6,NA,NA,506,117,N,0.488142292,135.04714011009352
PARAMOUNT HIGH SCHOOL,Paramount,Los Angeles,75,7,NA,3547,958,N,0.791936848,357.8743128701324
PARLIER HIGH SCHOOL,Parlier,Fresno,15,NA,NA,928,246,N,0.876077586,173.69032423515858
PASADENA HIGH SCHOOL,Pasadena,Los Angeles,62,13,5,1355,338,N,0.591881919,346.32545541267814
PASO ROBLES HIGH SCHOOL,Paso Robles,San Luis Obispo,27,5,NA,2037,460,N,0.490427099,178.95183562563545
PATRICK HENRY HIGH SCHOOL,San Diego,San Diego,109,4,NA,2512,571,N,0.288216561,457.1906784311887
PATRIOT HIGH SCHOOL,Jurupa Valley,Riverside,32,4,NA,2482,605,N,0.571313457,379.0435315333507
