school,city,county,applied,admitted,attended,tot_enrolled,grade_12,is_charter,pct_free_reduced,dist_to_ucb_miles
DESIGN SCIENCE MIDDLE COLG HS,Fresno,Fresno,33,6,5,242,59,N,NA,155.37387815528857
DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,72,12,9,537,120,Y,0.078212291,23.45796315699937
DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,299,54,32,2532,632,N,0.218799368,365.08192601571994
DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,26,NA,NA,1567,404,N,0.616464582,365.590154073462
DINUBA HIGH SCHOOL,Dinuba,Tulare,24,NA,NA,2115,483,N,0.727186761,182.5900138861593
DIXON HIGH SCHOOL,Dixon,Solano,25,NA,NA,1012,272,N,0.459486166,45.77819545257066
DOMINGUEZ HIGH SCHOOL,Compton,Los Angeles,35,5,NA,1616,321,N,0.838490099,357.2123396048906
DON ANTONIO LUGO HIGH SCHOOL,Chino,San Bernardino,16,3,3,1391,407,N,0.665708124,368.4754556790248
DOS PALOS HIGH SCHOOL,Dos Palos,Merced,10,NA,NA,628,148,N,0.714968153,108.6051424496118
DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,155,20,11,2075,478,N,0.334939759,271.8118757133253
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,542,44,32,3118,795,N,0.082424631,20.79672870908372
DOWNEY HIGH SCHOOL,Downey,Los Angeles,98,8,3,3936,946,N,0.554115854,356.70059450078134
DOWNTOWN COLG PREP EL PRIMERO,San Jose,Santa Clara,33,3,NA,459,97,Y,0.699346405,43.86542712618811
DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,50,5,NA,NA,NA,NA,NA,NA
DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,29,8,3,697,155,N,NA,27.2895916324998
DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,24,6,3,1013,195,N,0.946692991,348.65404367539344
DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,53,9,3,447,98,N,0.570469799,359.7478866531931
DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,34,7,4,290,62,N,0.296551724,73.21893355612713
DUARTE HIGH SCHOOL,Duarte,Los Angeles,23,NA,NA,770,185,N,0.519480519,352.18731569523584
DUBLIN HIGH SCHOOL,Dublin,Alameda,435,40,27,3224,876,N,0.086228288,20.980943948551147
DUNCAN POLYTECHNICAL HS,Fresno,Fresno,17,3,NA,1186,253,N,0.637436762,156.85560177081794
DURHAM HIGH SCHOOL,Durham,Butte,5,NA,NA,308,73,N,0.37012987,125.00516919425044
E3 CIVIC HIGH,San Diego,San Diego,10,NA,NA,373,79,Y,0.651474531,458.25007348513617
EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,98,21,16,2059,378,N,0.434677028,343.54689640830026
EARLY COLLEGE ACAD LA TRADE TECH,Los Angeles,Los Angeles,10,NA,NA,225,48,N,0.808888889,346.5569025277388
EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,11,NA,NA,200,53,N,NA,377.84539360061353
EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,37,4,NA,2420,605,N,0.877272727,250.9901459135798
EAST BAY INNOVATION ACADEMY,Oakland,Alameda,21,4,4,502,34,Y,0.336653386,10.85183452107836
EAST COLLEGE PREP,Los Angeles,Los Angeles,19,NA,NA,2092,450,N,0.838432122,352.9274721712316
EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo,8,NA,NA,287,69,Y,0.658536585,29.12348368641196
EAST UNION HIGH SCHOOL,Manteca,San Joaquin,19,NA,NA,1510,375,N,0.568874172,55.96743081159818
EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,11,NA,NA,538,121,N,0.918215613,335.57058692956633
EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,8,3,NA,124,21,N,NA,457.81019533893414
EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,133,10,7,2710,724,N,0.188929889,468.42718634098674
EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,25,4,NA,2592,629,N,0.673996914,320.78719746541213
EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,18,NA,NA,791,197,N,0.581542351,356.79227023993917
EDISON HIGH SCHOOL,Fresno,Fresno,62,21,13,2432,574,N,0.620065789,156.55143844222468
EDISON HIGH SCHOOL,Huntington Beach,Orange,55,10,7,2011,595,N,0.167081054,377.68198381406006
EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,33,NA,NA,2414,629,N,0.75932063,53.122588832794946
EDWARD C MERLO INSTITUTE,Stockton,San Joaquin,6,NA,NA,216,58,N,NA,54.48658199905272
EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,26,5,NA,1143,246,N,0.878390201,345.57100528584823
EISENHOWER HIGH SCHOOL,Rialto,San Bernardino,37,NA,NA,2152,514,N,0.777416357,376.0293404136856
EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,15,5,NA,1672,454,N,0.695574163,460.7718443504159
EL CAMINO FUNDAMENTAL HS,Sacramento,Sacramento,27,NA,NA,1296,319,N,0.466049383,70.41416008330995
EL CAMINO HIGH,South San Francisco,San Mateo,61,5,4,1088,306,N,0.230698529,17.51484513789067
EL CAMINO HIGH SCHOOL,Oceanside,San Diego,38,NA,NA,2526,589,N,0.502375297,424.6966145807083
EL CAMINO HIGH SCHOOL,Ventura,Ventura,11,NA,NA,218,70,N,NA,300.5950282704131
EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,109,8,3,3261,931,Y,0.307881018,325.978866845277
EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,36,3,NA,1830,467,N,0.319672131,458.3258861290525
EL CAPITAN HIGH SCHOOL,Merced,Merced,41,11,6,1811,451,N,0.648812811,104.48517031701668
EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,119,27,18,1476,363,N,0.325203252,3.049212568839434
EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,26,5,NA,1942,468,N,0.539649846,193.6295640452124
EL DORADO HIGH SCHOOL,Placentia,Orange,51,4,NA,2009,501,N,0.24838228,369.2263205437814
EL DORADO HIGH SCHOOL,Placerville,El Dorado,18,NA,NA,1195,310,N,0.334728033,98.40524128455534
EL MODENA HIGH SCHOOL,Orange,Orange,29,3,NA,1914,474,N,0.546499478,376.14479038061745
EL MONTE HIGH SCHOOL,El Monte,Los Angeles,42,4,NA,1421,329,N,0.835327234,353.4888977152525
EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,50,11,3,2104,468,N,0.620247148,355.8262640797862
EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,106,12,7,1290,320,N,0.120930233,347.3400090679354
EL TORO HIGH SCHOOL,Lake Forest,Orange,52,NA,NA,1972,504,N,0.394523327,388.9301824733769
ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,159,23,8,4464,1116,N,0.381048387,377.0211631614947
ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,15,NA,NA,1322,131,N,0.938729198,353.4882511003442
ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,46,NA,NA,1692,449,N,0.29787234,60.42005378535838
ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,16,NA,NA,980,241,N,0.548979592,44.7788922429874
ELSINORE HIGH SCHOOL,Wildomar,Riverside,18,3,NA,2065,481,N,0.590799031,405.0493481391776
EMERY SECONDARY SCHOOL,Emeryville,Alameda,14,4,3,155,34,N,0.470967742,2.852328443843686
ENCINA HIGH SCHOOL,Sacramento,Sacramento,5,NA,NA,628,173,N,0.756369427,67.75993108617854
ENCINAL HIGH SCHOOL,Alameda,Alameda,62,5,4,1218,220,N,0.393267652,7.069962439483197
ENTERPRISE HIGH SCHOOL,Redding,Shasta,17,NA,NA,1158,266,N,0.607081174,185.64237077338873
ENVIRONMENTAL CHARTER HIGH SCH,Gardena,Los Angeles,7,NA,NA,490,122,Y,0.693877551,351.74806251487865
ENVIRONMENTAL CHARTER HS LAWNDALE,Lawndale,Los Angeles,11,NA,NA,490,122,Y,0.693877551,351.74806251487865
ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,9,NA,NA,223,51,Y,0.69058296,4.713797820853774
ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,36,10,6,2424,613,N,0.514851485,230.46605689326955
ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,40,9,6,718,186,N,0.362116992,363.7509249721902
ESCALON HIGH SCHOOL,Escalon,San Joaquin,13,NA,NA,814,186,N,0.412776413,69.2293653873943
ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,21,NA,NA,1771,505,N,0.69282891,437.1578480183198
ESCONDIDO HIGH SCHOOL,Escondido,San Diego,20,3,NA,1771,505,N,0.69282891,437.1578480183198
ESPARTO HIGH SCHOOL,Esparto,Yolo,6,NA,NA,281,65,N,0.683274021,58.12230691055568
ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,24,3,NA,505,124,Y,0.732673267,350.99684734769426
ESPERANZA HIGH SCHOOL,Anaheim,Orange,36,4,NA,1406,309,N,0.305832148,372.4153611360546
ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,15,NA,NA,1030,270,N,0.716504854,378.7471592845065
ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,67,7,5,3540,920,N,0.366666667,370.4395192631086
EUREKA HIGH SCHOOL,Eureka,Humboldt,13,NA,NA,1226,293,N,0.555464927,225.70693159769087
EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,11,NA,NA,281,74,Y,0.651245552,27.71027742439196
EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,67,7,4,2072,520,N,0.763513514,87.67135709925155
EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,309,32,22,2749,745,N,0.172790105,46.06882269232592
EXCEL ACADEMY CHARTER SCH-HELENDALE,Irvine,Orange,5,NA,NA,NA,NA,NA,NA,NA
EXCELSIOR CHARTER SCHL VICTORVILLE,Victorville,San Bernardino,5,NA,NA,2120,371,Y,0.569339623,364.5402247415363
EXETER UNION HIGH SCHOOL,Exeter,Tulare,9,NA,NA,900,214,N,0.46,203.66487628572784
FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,58,10,7,1524,403,N,0.790026247,340.58290879387323
FAIRFIELD HIGH SCHOOL,Fairfield,Solano,17,NA,NA,1560,332,N,0.556410256,30.5730942579087
FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,17,NA,NA,1900,481,N,0.612105263,420.7079338608592
FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,10,NA,NA,728,154,N,0.776098901,200.17461529602664
FELICITAS AND GONZALO MENDEZ HS,Los Angeles,Los Angeles,17,6,3,779,210,N,0.88703466,347.2516805457851
FILLMORE HIGH SCHOOL,Fillmore,Ventura,19,5,NA,992,231,N,0.665322581,303.7317493085232
FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,13,NA,NA,632,150,N,0.829113924,122.38800570452092
FLORIN HIGH SCHOOL,Sacramento,Sacramento,42,6,3,1663,351,N,0.701743836,62.63391087282397
FOLSOM HIGH SCHOOL,Folsom,Sacramento,144,8,6,2806,677,N,0.136493229,80.44961214223311
FONTANA HIGH SCHOOL,Fontana,San Bernardino,55,5,NA,2455,557,N,0.856619145,375.1000562479149
FOOTHILL HIGH SCHOOL,Bakersfield,Kern,15,NA,NA,2063,516,N,0.85555017,253.60481712872215
FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,8,NA,NA,1432,310,N,0.341480447,183.5583465121717
FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,239,18,12,2208,565,N,0.081068841,23.161570047950647
FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,32,NA,NA,1289,256,N,0.83708301,74.56260048662371
FOOTHILL HIGH SCHOOL,Santa Ana,Orange,75,12,5,2196,565,N,0.320127505,377.98071840152016
FOOTHILL TECHNOLOGY HS,Ventura,Ventura,44,3,NA,962,233,N,0.19022869,300.55790350038677
FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,20,NA,NA,521,122,N,0.623800384,136.24375857689023
FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,8,NA,NA,871,205,N,0.56946039,213.68505053268063
FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,33,6,NA,1624,186,N,0.762315271,346.0284059785639
FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,146,15,5,3130,720,N,0.352396166,375.29924029747406
FOWLER HIGH SCHOOL,Fowler,Fresno,30,7,3,801,185,N,0.662921348,166.03886373123404
FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,72,7,NA,1562,381,N,NA,347.6617111737554
FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,131,14,8,2659,656,N,0.251598345,57.75867936414248
FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,30,4,3,2188,476,N,0.706581353,56.177022248156554
FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,27,NA,NA,1590,406,N,0.542138365,71.70246684056723
FREEDOM HIGH SCHOOL,Oakley,Contra Costa,50,5,3,2478,587,N,0.287732042,30.38092674768724
FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,8,NA,NA,631,73,N,0.787638669,365.30438588032627
FREMONT HIGH SCHOOL,Oakland,Alameda,40,NA,NA,1186,233,N,0.959527825,7.295948863099622
FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,145,8,5,2169,650,N,0.231443061,37.95785435586001
FRESNO HIGH SCHOOL,Fresno,Fresno,27,4,NA,2009,421,N,0.692384271,155.05847200425015
FRONTIER HIGH SCHOOL,Bakersfield,Kern,27,NA,NA,2030,502,N,0.277832512,241.96259827861988
FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,39,4,NA,1848,442,N,0.492965368,367.7293759942467
FUTURES HIGH SCHOOL,Sacramento,Sacramento,6,NA,NA,475,79,Y,0.823157895,69.68729826094284
GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,102,12,4,1483,388,N,0.525286581,350.40785129833483
GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,171,20,15,1741,440,N,0.553704767,10.167604239630071
GALT HIGH SCHOOL,Galt,Sacramento,14,NA,NA,963,223,N,0.534787124,58.522669845674685
GANESHA HIGH SCHOOL,Pomona,Los Angeles,14,3,NA,943,277,N,0.800636267,362.87870479785175
GARDEN GROVE HIGH SCHOOL,Garden Grove,Orange,77,14,NA,2198,606,N,0.666515014,372.34176513906414
GARDENA HIGH SCHOOL,Gardena,Los Angeles,19,4,NA,1407,377,N,0.86851457,354.6772877231169
GAREY HIGH SCHOOL,Pomona,Los Angeles,23,5,NA,1604,442,N,0.819201995,365.6995909668823
GATEWAY HIGH SCHOOL,San Francisco,San Francisco,47,5,3,475,120,Y,0.368421053,11.517652357244708
GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,220,21,15,2008,501,N,0.4437251,14.27562180733938
GEORGE WASHINGTON PREPARATORY,Los Angeles,Los Angeles,20,NA,NA,775,157,N,0.957419355,350.48899705145305
GHIDOTTI EARLY COLLEGE HIGH SCHOOL,Grass Valley,Nevada,8,NA,NA,154,36,N,NA,114.51797502871776
GILROY HIGH SCHOOL,Gilroy,Santa Clara,35,3,NA,1664,417,N,0.493389423,71.15408071348197
GIRLS ACADEMIC LEADERSHIP ACAD,Los Angeles,Los Angeles,40,7,NA,66,16,N,0.924242424,350.6352305392333
GLEN A WILSON HIGH SCHOOL,Hacienda Heights,Los Angeles,81,13,7,3452,820,N,0.517670915,364.8988460443977
GLENDALE HIGH SCHOOL,Glendale,Los Angeles,40,5,3,2006,492,N,0.603190429,341.89071684989295
GLENDORA HIGH SCHOOL,Glendora,Los Angeles,64,6,4,2151,557,N,0.271501627,357.386727152293
GOLDEN VALLEY HIGH SCHOOL,Bakersfield,Kern,45,3,NA,2365,731,N,0.82410148,254.0555445514508
GOLDEN VALLEY HIGH SCHOOL,Merced,Merced,42,6,3,1955,490,N,0.740153453,107.062313112822
GOLDEN VALLEY HIGH SCHOOL,Santa Clarita,Los Angeles,35,6,3,1993,490,N,0.390868038,318.8343435536824
GOLDEN WEST HIGH SCHOOL,Visalia,Tulare,17,NA,NA,2009,423,N,0.631657541,196.5142501766939
GOMPERS PREPARATORY ACADEMY,San Diego,San Diego,35,7,3,1229,158,Y,0.702196908,460.0408378093341
GONZALES HIGH SCHOOL,Gonzales,Monterey,16,6,3,777,202,N,0.601029601,104.27198449193844
GRACE M DAVIS HIGH SCHOOL,Modesto,Stanislaus,39,5,3,2022,475,N,0.673590504,69.50315013073826
GRANADA HIGH SCHOOL,Livermore,Alameda,110,11,8,2234,584,N,0.163384064,29.04425197856563
GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,293,34,12,6014,1143,Y,0.405387429,325.16685463147536
GRAND TERRACE HIGH SCHOOL,Grand Terrace,San Bernardino,27,6,NA,1747,425,N,0.598740698,383.2264803789467
GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,131,19,11,2005,492,N,0.161097257,82.15929765990782
GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino,27,4,NA,1734,425,N,0.651095732,367.0076906600672
GRANITE HILLS HIGH SCHOOL,El Cajon,San Diego,40,4,NA,2414,662,N,0.405136703,461.8859722616045
GRANITE HILLS HIGH SCHOOL,Porterville,Tulare,18,6,5,1168,248,N,0.699486301,219.46086070978575
GRANT UNION HIGH SCHOOL,Sacramento,Sacramento,42,9,NA,2016,448,N,0.829365079,69.23598315563072
GREAT OAK HIGH SCHOOL,Temecula,Riverside,120,11,9,3007,721,N,0.236780845,421.0527034979662
GREEN DESIGN STEAM ACADEMY,Los Angeles,Los Angeles,15,NA,NA,NA,NA,NA,NA,NA
GREENFIELD HIGH SCHOOL,Greenfield,Monterey,30,NA,NA,1333,293,N,0.831957989,121.51475460404488
GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles,119,23,13,1018,163,N,0.206286837,362.5926946266676
GRIDLEY HIGH SCHOOL,Gridley,Butte,6,NA,NA,644,152,N,0.572981366,107.8352484765862
GRIFFIN ACADEMY HIGH SCHOOL,Vallejo,Solano,9,NA,NA,178,33,Y,0.528089888,17.998906119712057
GROSSMONT HIGH SCHOOL,El Cajon,San Diego,27,7,3,2079,558,N,0.445887446,460.4454032726666
GROVE HIGH SCHOOL,Redlands,San Bernardino,5,NA,NA,247,28,Y,0.230769231,386.02983534374994
GUAJOME PARK ACADEMY,Vista,San Diego,9,NA,NA,1353,115,Y,0.605321508,426.7291690456028
GUSTINE HIGH SCHOOL,Gustine,Merced,7,NA,NA,553,136,N,0.670886076,80.9033899434182
HALF MOON BAY HIGH SCHOOL,Half Moon Bay,San Mateo,46,7,4,987,272,N,0.329280648,29.08798029785306
HAMILTON UNION HIGH SCHOOL,Hamilton City,Glenn,8,NA,NA,293,69,N,0.66894198,130.06288467578898
HANFORD HIGH SCHOOL,Hanford,Kings,11,NA,NA,1494,351,N,0.734270415,178.69573512932828
HANFORD WEST HIGH SCHOOL,Hanford,Kings,21,5,NA,1336,299,N,0.66991018,178.5628890806554
HARBOR HIGH SCHOOL,Santa Cruz,Santa Cruz,35,7,NA,1040,275,N,0.385576923,62.87314476934146
HARMONY MAGNET ACADEMY,Strathmore,Tulare,15,5,NA,512,119,Y,0.466796875,213.08207751801356
HAWTHORNE HIGH SCHOOL,Hawthorne,Los Angeles,31,NA,NA,1685,388,N,0.728783383,349.60728626392086
HAWTHORNE MATH & SCIENCE ACAD,Hawthorne,Los Angeles,33,6,NA,548,117,Y,0.51459854,349.71925214456184
HAYFORK HIGH SCHOOL,Hayfork,Trinity,6,NA,NA,95,21,N,0.778947368,191.3553913235308
HAYWARD HIGH SCHOOL,Hayward,Alameda,40,NA,NA,1667,413,N,0.615476905,17.252119550566373
HAYWARD TWIN OAKS MONTESSORI,Hayward,Alameda,6,NA,NA,617,45,Y,0.564019449,17.70882909791788
HEALDSBURG HIGH SCHOOL,Healdsburg,Sonoma,42,7,6,460,106,N,0.430434783,61.387103468914326
HEALTH CAREERS ACADEMY HS,Stockton,San Joaquin,30,3,3,404,92,Y,0.735148515,53.53772190358409
HEALTH PROFESSIONS HIGH SCH,Sacramento,Sacramento,5,NA,NA,185,66,N,0.621621622,62.56718754383898
HEALTH SCIENCES HIGH/MID COLL,San Diego,San Diego,21,4,NA,528,127,Y,0.647727273,457.6031482494298
HECTOR GODINEZ FUNDAMENTAL HS,Santa Ana,Orange,37,6,NA,1792,553,N,0.700334821,376.2655251316406
HELEN BERNSTEIN HIGH SCHOOL,Hollywood,Los Angeles,12,NA,NA,742,153,N,0.847708895,341.6662683637796
HELIX HIGH SCHOOL,La Mesa,San Diego,114,10,7,2544,599,Y,0.433569182,459.80150297271786
HEMET HIGH SCHOOL,Hemet,Riverside,23,NA,NA,2402,574,N,0.669858451,413.4415642822612
HENRY J KAISER HIGH SCHOOL,Fontana,San Bernardino,32,8,5,1794,462,N,0.697881828,375.0888525246472
HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,261,40,18,1713,456,N,0.091068301,33.3819466185458
HENRY T GUNDERSON HIGH SCHOOL,San Jose,Santa Clara,25,3,NA,827,232,N,0.495767836,47.928271835436654
HERBERT HOOVER HIGH SCHOOL,Fresno,Fresno,28,NA,NA,2021,445,N,0.650667986,154.84426220595847
HERBERT HOOVER HIGH SCHOOL,Glendale,Los Angeles,44,NA,NA,1538,358,N,0.513654096,339.48586415127494
HERCULES HIGH SCHOOL,Hercules,Contra Costa,54,12,11,740,164,N,0.305405405,8.808005557499152
HERITAGE HIGH SCHOOL,Brentwood,Contra Costa,114,7,5,2641,675,N,0.174555093,27.88153900572198
HERITAGE HIGH SCHOOL,Menifee,Riverside,15,3,NA,2326,577,N,0.619088564,404.7419434543782
HERITAGE PEAK CHARTER SCHOOL,Rio Linda,Sacramento,7,NA,NA,1126,84,Y,0.464476021,71.48954471236006
HESPERIA HIGH SCHOOL,Hesperia,San Bernardino,38,4,NA,2325,522,N,0.612043011,362.7296280611112
HIGH SCHOOL AT MOORPARK COLL,Moorpark,Ventura,10,NA,NA,101,25,N,0.138613861,312.2856215712714
HIGH TECH HIGH - NORTH COUNTY,San Marcos,San Diego,19,NA,NA,401,93,Y,0.401496259,433.7179024195371
HIGH TECH HIGH CHULA VISTA,Chula Vista,San Diego,30,3,NA,1980,540,N,0.716161616,465.7800479834283
HIGH TECH HIGH INTERNATIONAL,San Diego,San Diego,18,4,3,487,139,Y,0.347022587,454.7529247382892
HIGH TECH HIGH LA,Van Nuys,Los Angeles,24,NA,NA,1036,223,N,0.819498069,343.0275045351958
HIGH TECH HIGH MEDIA ARTS,San Diego,San Diego,23,6,3,384,92,Y,0.390625,454.5543064326275
HIGH TECH HIGH MESA,San Diego,San Diego,24,NA,NA,431,100,Y,0.324825986,451.50014968037493
HIGH TECH HIGH SCHOOL,San Diego,San Diego,32,6,4,487,139,Y,0.347022587,454.7529247382892
HIGHLAND HIGH SCHOOL,Bakersfield,Kern,27,NA,NA,2543,652,N,0.68777035,251.47476626659463
HIGHLAND HIGH SCHOOL,Palmdale,Los Angeles,39,4,NA,2778,764,N,0.560835133,321.54564167983784
HIGHLANDS HIGH SCHOOL,North Highlands,Sacramento,8,NA,NA,754,153,N,0.763925729,74.60319880836694
HILLCREST HIGH SCHOOL,Riverside,Riverside,27,4,3,1782,454,N,0.557239057,383.46895424610926
HILLSDALE HIGH SCHOOL,San Mateo,San Mateo,109,15,7,1581,417,N,0.186590765,23.69966191317715
HILLTOP HIGH SCHOOL,Chula Vista,San Diego,42,9,4,1841,491,N,0.655078762,465.5717860058353
HIRAM W JOHNSON HIGH SCHOOL,Sacramento,Sacramento,37,NA,NA,1627,432,N,0.739397664,64.68122369708672
HOLLISTER HIGH SCHOOL,Hollister,San Benito,62,6,4,3448,898,N,0.509280742,85.3557024354508
HOLLYWOOD HIGH SCHOOL,Los Angeles,Los Angeles,46,10,4,1052,278,N,0.865019011,340.58425637721456
HOLTVILLE HIGH SCHOOL,Holtville,Imperial,8,NA,NA,532,136,N,0.697368421,521.4098428720331
HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,293,26,19,2262,596,N,0.122900088,38.77444716489751
HOOVER HIGH SCHOOL,San Diego,San Diego,62,13,4,2105,479,N,0.73871734,457.7571534863477
HUENEME HIGH SCHOOL,Oxnard,Ventura,21,3,NA,2080,522,N,0.775961538,308.98472142110575
HUGHSON HIGH SCHOOL,Hughson,Stanislaus,15,NA,NA,835,207,N,0.473053892,78.8299277685224
HUNTINGTON BEACH HIGH SCHOOL,Huntington Beach,Orange,114,22,13,2734,712,N,0.233357718,375.3213018295404
HUNTINGTON PARK HIGH SCHOOL,Huntington Park,Los Angeles,43,9,4,1431,331,N,0.895178197,350.8847817081398
HUNTINGTON PARK INST APPLD MEDICINE,Huntington Park,Los Angeles,20,7,NA,728,171,N,0.870879121,350.62698484363847
ICEF VIEW PARK PREPARATORY HIGH SCH,Los Angeles,Los Angeles,8,NA,NA,354,81,Y,0.878531073,346.7274868297016
ILEAD EXPLORATION HYBRID,Acton,Los Angeles,10,4,NA,3551,174,Y,0.408898902,325.3260758926466
IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,33,5,NA,760,96,Y,0.506578947,18.751920564734707
IMPERIAL HIGH SCHOOL,Imperial,Imperial,11,NA,NA,1378,294,N,0.377358491,511.9838027431453
INDEPENDENCE HIGH SCHOOL,Bakersfield,Kern,20,3,3,2334,579,N,0.595115681,249.9896414296071
INDEPENDENCE HIGH SCHOOL,Roseville,Placer,5,NA,NA,250,103,N,NA,81.2832022496687
INDEPENDENCE HIGH SCHOOL,San Francisco,San Francisco,15,NA,NA,197,60,N,NA,13.463061448265725
INDEPENDENCE HIGH SCHOOL,San Jose,Santa Clara,78,6,3,2368,628,N,0.383023649,41.08504817357698
INDERKUM HIGH SCHOOL,Sacramento,Sacramento,71,13,7,2242,577,N,0.427743087,67.60674182209651
INDIAN SPRINGS HIGH SCHOOL,San Bernardino,San Bernardino,37,5,NA,1829,386,N,0.892290869,381.8366247419314
INDIO HIGH SCHOOL,Indio,Riverside,28,6,3,2027,471,N,NA,443.02267885793106
INGLEWOOD HIGH SCHOOL,Inglewood,Los Angeles,12,NA,NA,778,135,N,0.781491003,349.3627324532615
INSPIRE SCHOOL OF ARTS AND SCIENCES,Chico,Butte,5,NA,NA,357,89,Y,0.428571429,130.59310446976707
INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,30,NA,NA,3954,958,N,0.549822964,362.9160904682518
INTERNATIONAL STUDIES LEARNING CTR,South Gate,Los Angeles,9,4,NA,NA,NA,NA,NA,NA
INVICTUS ACADEMY OF RICHMOND,El Cerrito,Contra Costa,13,NA,NA,389,61,Y,0.655526992,3.7539083978711454
IRVINE HIGH SCHOOL,Irvine,Orange,175,14,8,1951,478,N,0.232701179,381.99765589968695
IRVINGTON HIGH SCHOOL,Fremont,Alameda,319,31,26,2161,546,N,0.14900509,28.916455317886353
JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles,61,11,5,2223,545,N,0.890238417,351.0413660530885
JAMES C ENOCHS HIGH SCHOOL,Modesto,Stanislaus,78,8,3,2369,607,N,0.359223301,73.43491062539975
JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,15,4,NA,878,197,N,0.514806378,42.031444337508
