school,city,county,applied,admitted,attended
MOUNT EDEN HIGH SCHOOL,Hayward,Alameda,69,7,3
MOUNT EVEREST ACADEMY,San Diego,San Diego,12,3,
MOUNT MIGUEL HIGH SCHOOL,Spring Valley,San Diego,31,5,
MOUNT PLEASANT HIGH SCHOOL,San Jose,Santa Clara,26,4,4
MOUNT SAC EARLY COLLEGE ACADEMY,West Covina,Los Angeles,19,,
MOUNT SHASTA HIGH SCHOOL,Mount Shasta,Siskiyou,5,,
MOUNT WHITNEY HIGH SCHOOL,Visalia,Tulare,18,,
MOUNTAIN HOUSE HIGH SCHOOL,Mountain House,San Joaquin,262,30,22
MOUNTAIN VIEW HIGH SCHOOL,El Monte,Los Angeles,24,5,5
MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara,251,30,20
MURRIETA MESA HIGH SCHOOL,Murrieta,Riverside,31,4,
MURRIETA VALLEY HIGH SCHOOL,Murrieta,Riverside,34,5,
NAPA HIGH SCHOOL,Napa,Napa,34,7,5
NATHANIEL NARBONNE HIGH SCHOOL,Harbor City,Los Angeles,54,5,
NATOMAS CHARTER SCHOOL,Sacramento,Sacramento,23,4,4
NATOMAS HIGH SCHOOL,Sacramento,Sacramento,25,,
NATOMAS PACIFIC PATHWAYS PREP,Sacramento,Sacramento,34,6,3
NAVA COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,26,4,
NEVADA UNION HIGH SCHOOL,Grass Valley,Nevada,19,,
NEW DESIGNS CHARTER SCHOOL,Los Angeles,Los Angeles,11,,
NEW OPEN WORLD ACADEMY,Los Angeles,Los Angeles,15,,
NEW TECHNOLOGY HIGH SCHOOL,Napa,Napa,11,,
NEW WEST CHARTER SCHOOL,Los Angeles,Los Angeles,69,7,4
NEWARK MEMORIAL HIGH SCHOOL,Newark,Alameda,64,11,8
NEWBURY PARK HIGH SCHOOL,Newbury Park,Ventura,80,11,5
NEWPORT HARBOR HIGH SCHOOL,Newport Beach,Orange,66,8,3
NIPOMO HIGH SCHOOL,Nipomo,San Luis Obispo,7,,
NOGALES HIGH SCHOOL,La Puente,Los Angeles,31,3,
NORCO HIGH SCHOOL,Norco,Riverside,9,,
NORDHOFF HIGH SCHOOL,Ojai,Ventura,17,,
NORTE VISTA SENIOR HIGH SCHOOL,Riverside,Riverside,19,6,4
NORTH HIGH SCHOOL,Bakersfield,Kern,10,,
NORTH HIGH SCHOOL,Torrance,Los Angeles,62,12,4
NORTH HOLLYWOOD HIGH SCHOOL,North Hollywood,Los Angeles,138,25,10
NORTH MONTEREY COUNTY HIGH SCH,Castroville,Monterey,29,5,
NORTH SALINAS HIGH SCHOOL,Salinas,Monterey,51,8,4
NORTH TAHOE HIGH SCHOOL,Tahoe City,Placer,20,3,
NORTHCOAST PREPARATORY ACADEMY,Arcata,Humboldt,7,,
NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,119,13,8
NORTHRIDGE ACADEMY HIGH SCHOOL,Northridge,Los Angeles,14,,
NORTHVIEW HIGH SCHOOL,Covina,Los Angeles,21,3,
NORTHWOOD HIGH SCHOOL,Irvine,Orange,287,34,12
NORTON SCIENCE & LANGUAGE ACADEMY,San Bernardino,San Bernardino,5,,
NORWALK HIGH SCHOOL,Norwalk,Los Angeles,35,,
NOVA ACADEMY EARLY COLLEGE HS,Santa Ana,Orange,10,,
NOVATO HIGH SCHOOL,Novato,Marin,54,10,5
NUVIEW BRIDGE EARLY COLLEGE HS,Nuevo,Riverside,7,,
OAK GROVE HIGH SCHOOL,San Jose,Santa Clara,53,3,3
OAK HILLS HIGH SCHOOL,Oak Hills,San Bernardino,27,5,
OAK PARK HIGH SCHOOL,Oak Park,Ventura,123,8,4
OAK PARK INDEPENDENT SCH,Oak Park,Ventura,7,,
OAK RIDGE HIGH SCHOOL,El Dorado Hills,El Dorado,121,15,12
OAKDALE HIGH SCHOOL,Oakdale,Stanislaus,13,,
OAKLAND CHARTER HIGH SCHOOL,Oakland,Alameda,37,13,8
OAKLAND HIGH SCHOOL,Oakland,Alameda,92,14,8
OAKLAND INTERNATIONAL HIGH SCH,Oakland,Alameda,15,,
OAKLAND MILITARY INST COL PREP,Oakland,Alameda,19,,
OAKLAND SCHOOL FOR THE ARTS,Oakland,Alameda,26,3,
OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda,190,27,12
OAKLAND UNITY HIGH SCHOOL,Oakland,Alameda,23,,
OAKMONT HIGH SCHOOL,Roseville,Placer,35,6,5
OCEAN GROVE CHARTER SCHOOL,Placerville,El Dorado,7,,
OCEAN VIEW HIGH SCHOOL,Huntington Beach,Orange,24,4,
OCEANA HIGH SCHOOL,Pacifica,San Mateo,53,7,3
OCEANSIDE HIGH SCHOOL,Oceanside,San Diego,36,4,
ODYSSEY STEM ACADEMY,Lakewood,Los Angeles,30,,
OFARRELL CHARTER SCHOOL,San Diego,San Diego,25,,
OLYMPIAN HIGH SCHOOL,Chula Vista,San Diego,89,6,4
ONTARIO HIGH SCHOOL,Ontario,San Bernardino,33,3,
OPTIONS FOR YOUTH - ACTON-FONTANA 2,Fontana,San Bernardino,7,,
OPTIONS FOR YOUTH DUARTE - PASADENA,Pasadena,Los Angeles,12,,
ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange,192,44,21
ORANGE COVE HIGH SCHOOL,Orange Cove,Fresno,9,3,
ORANGE GLEN HIGH SCHOOL,Escondido,San Diego,31,7,5
ORANGE HIGH SCHOOL,Orange,Orange,12,,
ORANGE VISTA HIGH SCHOOL,Perris,Riverside,55,10,
ORCUTT ACADEMY CHARTER HIGH SCHOOL,Orcutt,Santa Barbara,22,4,
ORESTIMBA HIGH SCHOOL,Newman,Stanislaus,18,,
ORLAND HIGH SCHOOL,Orland,Glenn,11,,
OROSI HIGH SCHOOL,Orosi,Tulare,11,,
OROVILLE HIGH SCHOOL,Oroville,Butte,11,,
ORTHOPAEDIC HOSPITAL MAGNET HS,Los Angeles,Los Angeles,29,6,4
OSCAR DE LA HOYA ANIMO CHARTER,Los Angeles,Los Angeles,22,5,
OTAY RANCH HIGH SCHOOL,Chula Vista,San Diego,87,11,7
OXFORD ACADEMY,Cypress,Orange,120,17,6
OXFORD DAY ACADEMY,East Palo Alto,San Mateo,6,,
OXNARD HIGH SCHOOL,Oxnard,Ventura,47,5,
OXNARD MIDDLE COLLEGE HIGH SCH,Oxnard,Ventura,17,,
PACHECO HIGH SCHOOL,Los Banos,Merced,37,4,
PACIFIC COAST ACADEMY,Poway,San Diego,6,,
PACIFIC COLLEGIATE SCHOOL,Santa Cruz,Santa Cruz,36,10,7
PACIFIC GROVE HIGH SCHOOL,Pacific Grove,Monterey,42,6,3
PACIFIC HIGH SCHOOL,San Bernardino,San Bernardino,27,3,
PACIFIC LAW ACADEMY,Stockton,San Joaquin,8,,
PACIFICA HIGH SCHOOL,Garden Grove,Orange,45,,
PACIFICA HIGH SCHOOL,Oxnard,Ventura,44,10,7
PAJARO VALLEY HS,Watsonville,Santa Cruz,34,5,
PALISADES CHARTER HIGH SCHOOL,Pacific Palisades,Los Angeles,265,38,16
PALM DESERT HIGH SCHOOL,Palm Desert,Riverside,54,11,5
PALM SPRINGS HIGH SCHOOL,Palm Springs,Riverside,31,4,
PALMDALE ACADEMY CHARTER,Palmdale,Los Angeles,16,,
PALMDALE AEROSPACE ACADEMY,Palmdale,Los Angeles,31,6,
PALMDALE HIGH SCHOOL,Palmdale,Los Angeles,22,3,
PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,285,41,26
PALOMA VALLEY HIGH SCHOOL,Menifee,Riverside,26,5,3
PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles,117,25,12
PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,236,42,25
PANORAMA HIGH SCHOOL,Panorama City,Los Angeles,26,11,8
PARADISE HIGH SCHOOL,Paradise,Butte,6,,
PARAMOUNT HIGH SCHOOL,Paramount,Los Angeles,75,7,
PARLIER HIGH SCHOOL,Parlier,Fresno,15,,
PASADENA HIGH SCHOOL,Pasadena,Los Angeles,62,13,5
PASO ROBLES HIGH SCHOOL,Paso Robles,San Luis Obispo,27,5,
PATRICK HENRY HIGH SCHOOL,San Diego,San Diego,109,4,
PATRIOT HIGH SCHOOL,Jurupa Valley,Riverside,32,4,
PATTERSON HIGH SCHOOL,Patterson,Stanislaus,33,7,3
PERFORMING ARTS COMMUNITY SCHO,Los Angeles,Los Angeles,21,3,
PERRIS HIGH SCHOOL,Perris,Riverside,7,3,
PETALUMA HIGH SCHOOL,Petaluma,Sonoma,55,3,
PHILLIP & SALA BURTON ACAD HS,San Francisco,San Francisco,79,4,
PHINEAS BANNING HIGH SCHOOL,Wilmington,Los Angeles,48,4,
PIEDMONT HIGH SCHOOL,Piedmont,Alameda,116,17,10
PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,150,15,8
PIERCE HIGH SCHOOL,Arbuckle,Colusa,10,,
PINER HIGH SCHOOL,Santa Rosa,Sonoma,22,,
PINOLE VALLEY HIGH SCHOOL,Pinole,Contra Costa,59,6,4
PIONEER HIGH SCHOOL,San Jose,Santa Clara,99,17,13
PIONEER HIGH SCHOOL,Whittier,Los Angeles,33,5,
PIONEER HIGH SCHOOL,Woodland,Yolo,36,6,
PIONEER VALLEY HIGH SCHOOL,Santa Maria,Santa Barbara,51,11,4
PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,93,13,10
PLACER HIGH SCHOOL,Auburn,Placer,13,,
PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,99,4,
PLEASANT VALLEY SR HIGH SCHOOL,Chico,Butte,21,3,
POINT LOMA HIGH SCHOOL,San Diego,San Diego,86,7,3
POMONA HIGH SCHOOL,Pomona,Los Angeles,11,,
PONDEROSA HIGH SCHOOL,Shingle Springs,El Dorado,26,,
PORT OF LOS ANGELES HS,San Pedro,Los Angeles,27,,
PORTERVILLE HIGH SCHOOL,Porterville,Tulare,16,3,
PORTOLA HIGH SCHOOL,Irvine,Orange,288,30,11
PORTOLA JUNIOR SENIOR HIGH SCHOOL,Portola,Plumas,6,,
POWAY HIGH SCHOOL,Poway,San Diego,71,7,3
POWAY TO PALOMAR MIDDLE COLLEGE,San Diego,San Diego,9,,
PREUSS SCHOOL UCSD,La Jolla,San Diego,49,12,5
PROSPECT HIGH SCHOOL,Saratoga,Santa Clara,94,13,10
PUBLIC SAFETY ACADEMY,Fairfield,Solano,7,,
PUBLIC SERVICE COMMUNITY SCHOO,Los Angeles,Los Angeles,15,3,
PUC CALS MIDDLE AND EARLY COLL,Los Angeles,Los Angeles,7,,
PUC COMMUNITY CHARTER EARLY COLL HS,Sylmar,Los Angeles,17,3,
PUC EARLY COLG ACADEMY LEADERS,Los Angeles,Los Angeles,5,,
PUC LAKEVIEW CHARTER HIGH SCHL,Sylmar,Los Angeles,23,,
PUC TRIUMPH CHARTER ACADEMY HS,Sylmar,Los Angeles,5,,
QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles,82,12,8
QUINCY JUNIOR SENIOR HIGH SCHOOL,Quincy,Plumas,6,,
RAMONA HIGH SCHOOL,Ramona,San Diego,14,,
RAMONA HIGH SCHOOL,Riverside,Riverside,47,5,
RANCHO ALAMITOS HIGH SCHOOL,Garden Grove,Orange,28,4,3
RANCHO BERNARDO HIGH SCHOOL,San Diego,San Diego,104,8,6
RANCHO BUENA VISTA HIGH SCHOOL,Vista,San Diego,43,4,
RANCHO CAMPANA HIGH SCHOOL,Camarillo,Ventura,48,9,4
RANCHO COTATE HIGH SCHOOL,Rohnert Park,Sonoma,29,,
RANCHO CUCAMONGA HIGH SCHOOL,Rancho Cucamonga,San Bernardino,94,14,5
RANCHO DOMINGUEZ PREP SCHOOL,Long Beach,Los Angeles,12,,
RANCHO MIRAGE HIGH SCHOOL,Rancho Mirage,Riverside,22,3,
RANCHO SAN JUAN HIGH SCHOOL,Salinas,Monterey,66,20,8
RANCHO VERDE HIGH SCHOOL,Moreno Valley,Riverside,41,,
RAOUL WALLENBERG TRADITIONAL,San Francisco,San Francisco,49,8,4
RED BLUFF HIGH SCHOOL,Red Bluff,Tehama,16,3,3
REDLANDS EAST VALLEY HS,Redlands,San Bernardino,32,4,
REDLANDS HIGH SCHOOL,Redlands,San Bernardino,83,19,8
REDONDO UNION HIGH SCHOOL,Redondo Beach,Los Angeles,166,23,16
REDWOOD HIGH SCHOOL,Larkspur,Marin,193,26,16
REDWOOD HIGH SCHOOL,Visalia,Tulare,44,9,
REEDLEY HIGH SCHOOL,Reedley,Fresno,34,5,4
REEDLEY MIDDLE COLLEGE HS,Reedley,Fresno,14,3,
RENAISSANCE ARTS ACADEMY,Los Angeles,Los Angeles,17,4,
RENAISSANCE HIGH SCHOOL ARTS,Long Beach,Los Angeles,7,3,
RESEDA HIGH SCHOOL,Reseda,Los Angeles,40,12,5
REX & MARGARET FORTUNE ECHS,Elk Grove,Sacramento,5,,
RIALTO HIGH SCHOOL,Rialto,San Bernardino,26,4,
RICHARD GAHR HIGH SCHOOL,Cerritos,Los Angeles,44,,
RICHMOND HIGH SCHOOL,Richmond,Contra Costa,56,10,8
RIDGEVIEW HIGH SCHOOL,Bakersfield,Kern,53,4,3
RIM OF THE WORLD HIGH SCHOOL,Lake Arrowhead,San Bernardino,12,,
RIO AMERICANO HIGH SCHOOL,Sacramento,Sacramento,70,8,4
RIO LINDA SENIOR HIGH SCHOOL,Rio Linda,Sacramento,28,,
RIO MESA HIGH SCHOOL,Oxnard,Ventura,14,4,
RIO VISTA HIGH SCHOOL,Rio Vista,Solano,6,,
RIPON HIGH SCHOOL,Ripon,San Joaquin,22,,
RISE KOHYANG HIGH SCHOOL,Los Angeles,Los Angeles,36,3,
RIVER CITY HIGH SCHOOL,West Sacramento,Yolo,66,3,
RIVER SPRINGS CHARTER SCHOOL,Temecula,Riverside,7,,
RIVER VALLEY HIGH SCHOOL,Yuba City,Sutter,36,7,4
RIVERBANK HIGH SCHOOL,Riverbank,Stanislaus,11,,
RIVERDALE HIGH SCHOOL,Riverdale,Fresno,5,,
RIVERSIDE POLY HIGH SCHOOL,Riverside,Riverside,42,10,5
RIVERSIDE PREPARATORY,Oro Grande,San Bernardino,13,,
RIVERSIDE STEM ACADEMY,Riverside,Riverside,30,4,
ROBERT A MILLIKAN HIGH SCHOOL,Long Beach,Los Angeles,147,28,11
ROBERT F KENNEDY HIGH SCHOOL,Delano,Kern,24,5,3
ROBERT FULTON COLLEGE PREP SCH,Van Nuys,Los Angeles,18,3,
ROBERTO CRUZ LEADERSHIP ACDMY,San Jose,Santa Clara,11,,
ROCKLIN HIGH SCHOOL,Rocklin,Placer,66,7,3
RONALD E MCNAIR HIGH SCHOOL,Stockton,San Joaquin,27,5,3
ROSAMOND HIGH SCHOOL,Rosamond,Kern,9,,
ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,10,,
ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,13,,
ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,46,10,4
ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,38,,
ROSEVILLE HIGH SCHOOL,Roseville,Placer,21,3,3
ROYAL HIGH SCHOOL,Simi Valley,Ventura,38,8,5
RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,171,31,20
RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside,21,4,
RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco,93,20,13
SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,12,,
SADDLEBACK HIGH SCHOOL,Santa Ana,Orange,20,,
SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego,106,9,6
SAGE OAK CHARTER,Redlands,San Bernardino,6,,
SAINT HELENA HIGH SCHOOL,Saint Helena,Napa,15,,
SALINAS HIGH SCHOOL,Salinas,Monterey,63,10,8
SAMUELI ACADEMY,Santa Ana,Orange,18,3,
SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino,13,,
SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,88,8,6
SAN DIEGO HIGH SCHOOL,San Diego,San Diego,75,14,9
SAN DIEGO SCHL CREATE/PERFORM,San Diego,San Diego,16,4,
SAN DIEGUITO ACADEMY,Encinitas,San Diego,158,23,11
SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,40,,
SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,39,9,
SAN FRANCISCO INTERNATIONAL HS,San Francisco,San Francisco,24,6,6
SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,85,11,6
SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino,21,6,
SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside,22,5,3
SAN JACINTO LEADERSHIP ACADEMY,San Jacinto,Riverside,14,6,
SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside,8,,
SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,14,,
SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento,12,,
SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,103,6,3
SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,110,7,5
SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,33,3,3
SAN LORENZO VALLEY HIGH SCHOOL,Felton,Santa Cruz,23,8,3
SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,100,16,11
SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,129,10,9
SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,82,18,12
SAN MARIN HIGH SCHOOL,Novato,Marin,63,4,
SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,104,17,8
SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,132,18,10
SAN PASQUAL HIGH SCHOOL,Escondido,San Diego,35,5,3
SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles,59,10,7
SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,51,9,8
SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,105,23,14
SAN YSIDRO HIGH SCHOOL,San Diego,San Diego,61,16,8
SANGER HIGH SCHOOL,Sanger,Fresno,36,7,
SANGER WEST HIGH SCHOOL,Fresno,Fresno,28,,
SANTA ANA HIGH SCHOOL,Santa Ana,Orange,47,12,6
SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,118,14,6
SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara,106,12,10
SANTA CRUZ HIGH SCHOOL,Santa Cruz,Santa Cruz,75,13,7
SANTA FE HIGH SCHOOL,Santa Fe Springs,Los Angeles,37,4,3
SANTA MARIA HIGH SCHOOL,Santa Maria,Santa Barbara,70,8,4
SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,259,67,38
SANTA PAULA HIGH SCHOOL,Santa Paula,Ventura,31,4,
SANTA ROSA ACADEMY,Menifee,Riverside,9,,
SANTA ROSA HIGH SCHOOL,Santa Rosa,Sonoma,33,,
SANTA SUSANA HIGH SCHOOL,Simi Valley,Ventura,41,,
SANTA TERESA HIGH SCHOOL,San Jose,Santa Clara,104,14,7
SANTA YNEZ VALLEY UNION HS,Santa Ynez,Santa Barbara,22,7,
SANTANA HIGH SCHOOL,Santee,San Diego,23,4,3
SANTEE EDUCATION COMPLEX,Los Angeles,Los Angeles,48,7,5
SANTIAGO HIGH SCHOOL,Corona,Riverside,84,19,7
SANTIAGO HIGH SCHOOL,Garden Grove,Orange,45,9,6
SARATOGA HIGH SCHOOL,Saratoga,Santa Clara,215,21,11
SATO ACADEMY OF MATH & SCIENCE,Long Beach,Los Angeles,45,5,
SAUGUS HIGH SCHOOL,Santa Clarita,Los Angeles,53,7,5
SAVANNA HIGH SCHOOL,Anaheim,Orange,26,5,
SCH SOCIAL JUSTICE-CONT LEARN CTR,Los Angeles,Los Angeles,7,,
SCHL ENTREPRENEURSHIP & TECH,San Diego,San Diego,8,,
SCHOOL OF ARTS AND ENTERPRISE,Pomona,Los Angeles,14,,
SCHOOL OF ENGINEERING & SCIENCES,Sacramento,Sacramento,8,,
SCHOOL VISUAL ARTS AND HUMANITIES,Los Angeles,Los Angeles,10,3,
SCHURR HIGH SCHOOL,Montebello,Los Angeles,43,8,3
SCIENCE ACADEMY STEM MAGNET,North Hollywood,Los Angeles,38,5,
SCOTTS VALLEY HIGH SCHOOL,Scotts Valley,Santa Cruz,30,8,4
SCRIPPS RANCH HIGH,San Diego,San Diego,151,10,6
SEASIDE HIGH SCHOOL,Seaside,Monterey,14,,
SEGERSTROM HIGH SCHOOL,Santa Ana,Orange,63,9,4
SELMA HIGH SCHOOL,Selma,Fresno,28,5,4
SEQUOIA HIGH SCHOOL,Redwood City,San Mateo,87,16,10
SERRANO HIGH SCHOOL,Phelan,San Bernardino,16,3,
SHADOW HILLS HIGH SCHOOL,Indio,Riverside,16,3,
SHAFTER HIGH SCHOOL,Shafter,Kern,7,,
SHASTA CHARTER ACADEMY,Redding,Shasta,5,,
SHASTA HIGH SCHOOL,Redding,Shasta,11,,
SHELDON HIGH SCHOOL,Sacramento,Sacramento,61,4,
SHERMAN E BURROUGHS HS,Ridgecrest,Kern,8,,
SHERMAN OAKS CTR ENRCHED STDS,Tarzana,Los Angeles,50,7,
SIERRA ACADEMY EXPEDITION LRNG,Nevada City,Nevada,8,,
SIERRA HIGH SCHOOL,Manteca,San Joaquin,24,,
SIERRA PACIFIC HIGH SCHOOL,Hanford,Kings,14,,
SIERRA VISTA HIGH SCHOOL,Baldwin Park,Los Angeles,34,7,5
SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara,135,16,11
SILVERADO HIGH SCHOOL,Victorville,San Bernardino,19,,
SIMI VALLEY HIGH SCHOOL,Simi Valley,Ventura,29,,
SKYLINE HIGH SCHOOL,Oakland,Alameda,85,16,10
SOAR HIGH SCHOOL,Lancaster,Los Angeles,43,6,3
SOCIAL JUSTICE HUMANITAS ACAD,San Fernando,Los Angeles,19,4,
SOJOURNER TRUTH INDEPENDENT STUDY,Oakland,Alameda,5,,
SOLEDAD HIGH SCHOOL,Soledad,Monterey,32,5,3
SONIA SOTOMAYOR ARTS & SCIENCE ACAD,Los Angeles,Los Angeles,10,,
SONOMA VALLEY HIGH SCHOOL,Sonoma,Sonoma,28,8,4
SONORA HIGH SCHOOL,La Habra,Orange,42,4,
SONORA HIGH SCHOOL,Sonora,Tuolumne,9,4,3
SOQUEL HIGH SCHOOL,Soquel,Santa Cruz,54,7,3
SOUTH EAST HIGH SCHOOL,South Gate,Los Angeles,56,5,4
SOUTH EL MONTE HIGH SCHOOL,South El Monte,Los Angeles,30,7,3
SOUTH FORK HIGH SCHOOL,Miranda,Humboldt,7,,
SOUTH GATE HIGH SCHOOL,South Gate,Los Angeles,32,7,3
SOUTH HIGH SCHOOL,Bakersfield,Kern,36,6,3
SOUTH HIGH SCHOOL,Torrance,Los Angeles,121,13,7
SOUTH HILLS HIGH SCHOOL,West Covina,Los Angeles,49,9,
SOUTH LA COLLEGE PREP,Los Angeles,Los Angeles,17,,
SOUTH PASADENA HIGH SCHOOL,South Pasadena,Los Angeles,141,10,7
SOUTH SAN FRANCISCO HS,South San Francisco,San Mateo,39,3,
SOUTH SUTTER CHARTER SCHOOL,Nicolaus,Sutter,5,,
SOUTH TAHOE HIGH SCHOOL,South Lake Tahoe,El Dorado,20,5,
SOUTHWEST HIGH SCHOOL,El Centro,Imperial,34,4,
SOUTHWEST HIGH SCHOOL,San Diego,San Diego,37,6,6
STAGG HIGH SCHOOL,Stockton,San Joaquin,14,,
STEAM AT LEGACY HIGH SCHOOL COMPLEX,South Gate,Los Angeles,12,,
STEELE CANYON HIGH SCHOOL,Spring Valley,San Diego,66,4,
STELLA HIGH CHARTER ACADEMY,Los Angeles,Los Angeles,19,,
STEM ACADEMY OF HOLLYWOOD,Hollywood,Los Angeles,23,5,3
STOCKDALE HIGH SCHOOL,Bakersfield,Kern,77,10,5
STOCKTON COLLEGIATE INTL HIGH SCHOO,Stockton,San Joaquin,11,,
STOCKTON EARLY COLLEGE ACADEMY,Stockton,San Joaquin,48,4,3
SULTANA HIGH SCHOOL,Hesperia,San Bernardino,25,,
SUMMERVILLE UNION HIGH SCHOOL,Tuolumne,Tuolumne,8,,
SUMMIT COLLEGIATE HIGH SCHOOL,Porterville,Tulare,10,,
SUMMIT HIGH SCHOOL,Fontana,San Bernardino,41,3,
SUMMIT PREPARATORY CHARTER HIG,Redwood City,San Mateo,25,3,
SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,29,,
SUMMIT PUBLIC SCHOOL TAMALPAIS,San Pablo,Contra Costa,38,5,3
SUMMIT PUBLIC SCHOOL-TAHOMA,San Jose,Santa Clara,39,,
SUMMIT PUBLIC SCHOOLS SHASTA,Daly City,San Mateo,50,6,4
SUN VALLEY MAGNET SCHOOL,Sun Valley,Los Angeles,9,5,3
SUNNY HILLS HIGH SCHOOL,Fullerton,Orange,177,31,15
SUNNYSIDE HIGH SCHOOL,Fresno,Fresno,57,5,
SUSAN MILLER DORSEY HIGH SCHL,Los Angeles,Los Angeles,15,5,
SUTTER UNION HIGH SCHOOL,Sutter,Sutter,11,,
SWEETWATER HIGH SCHOOL,National City,San Diego,61,8,3
SYLMAR BIOTECH HEALTH & ENG MAGNET,Sylmar,Los Angeles,7,,
SYLMAR HIGH SCHOOL,Sylmar,Los Angeles,44,9,5
SYNERGY QUANTUM ACADEMY,Los Angeles,Los Angeles,21,5,3
TAFT UNION HIGH SCHOOL,Taft,Kern,5,,
TAHQUITZ HIGH SCHOOL,Hemet,Riverside,14,3,
TAMALPAIS HIGH SCHOOL,Mill Valley,Marin,212,25,12
TAMISCAL HIGH SCHOOL,Larkspur,Marin,16,,
TEACH TECH CHARTER HIGH SCHOOL,Los Angeles,Los Angeles,15,,
TECHNOLOGY HIGH SCHOOL,Rohnert Park,Sonoma,19,3,
TEHACHAPI HIGH SCHOOL,Tehachapi,Kern,8,3,
TEMECULA PREPARATORY SCHOOL,Winchester,Riverside,15,,
TEMECULA VALLEY HIGH SCHOOL,Temecula,Riverside,95,9,
TEMESCAL CANYON HIGH SCHOOL,Lake Elsinore,Riverside,37,5,
TEMPLE CITY HIGH SCHOOL,Temple City,Los Angeles,164,22,8
TEMPLETON HIGH SCHOOL,Templeton,San Luis Obispo,19,3,
TENNYSON HIGH SCHOOL,Hayward,Alameda,23,3,
TERRA LINDA HIGH SCHOOL,San Rafael,Marin,89,11,4
TERRA NOVA HIGH SCHOOL,Pacifica,San Mateo,21,,
TESORO HIGH SCHOOL,Rancho San Margarit,Orange,128,11,9
THEODORE ROOSEVELT HIGH SCHOOL,Fresno,Fresno,43,4,
THEODORE ROOSEVELT SENIOR HIGH,Los Angeles,Los Angeles,34,8,3
THOMAS DOWNEY HIGH SCHOOL,Modesto,Stanislaus,24,6,4
THOMAS JEFFERSON HIGH SCHOOL,Los Angeles,Los Angeles,8,,
THOUSAND OAKS HIGH SCHOOL,Thousand Oaks,Ventura,49,7,3
THURGOOD MARSHALL ACADEMIC HS,San Francisco,San Francisco,19,,
TIDE ACADEMY,Menlo Park,San Mateo,19,,
TOKAY HIGH SCHOOL,Lodi,San Joaquin,28,,
TORRANCE HIGH SCHOOL,Torrance,Los Angeles,74,10,3
TORRES HIGH SCH RENAISSANCE ACADEMY,Los Angeles,Los Angeles,14,,
TORRES HS - SOCIAL JUSTICE LEADRSHP,Los Angeles,Los Angeles,8,,
TORRES HS ENGINEERING & TECHNICAL,Los Angeles,Los Angeles,5,,
TORRES HS PERFORMING ARTS ACADEMY,Los Angeles,Los Angeles,6,,
