school,city,county,applied,admitted,attended
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,10,,
BUENA HIGH SCHOOL,Ventura,Ventura,20,,
BUENA PARK HIGH SCHOOL,Buena Park,Orange,31,7,
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,30,,
BULLARD HIGH SCHOOL,Fresno,Fresno,44,4,
BURBANK HIGH SCHOOL,Burbank,Los Angeles,111,14,6
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,164,13,4
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,96,13,7
CA ONLINE PUBLIC SCH CENTRAL VALLEY,Ripon,San Joaquin,6,,
CA ONLINE PUBLIC SCH MONTEREY BAY,Ripon,San Joaquin,7,,
CA ONLINE PUBLIC SCH NORTHERN CA,Ripon,San Joaquin,18,,
CA ONLINE PUBLIC SCHOOLS SOUTHRN CA,San Juan Capistrano,Orange,28,,
CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,62,11,4
CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,16,,
CABRILLO POINT ACADEMY,El Cajon,San Diego,7,,
CAJON HIGH SCHOOL,San Bernardino,San Bernardino,52,4,3
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,121,32,18
CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,7,,
CALEXICO HIGH SCHOOL,Calexico,Imperial,34,5,3
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,115,24,11
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,5,,
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,291,36,24
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,55,11,4
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,16,,
CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,19,,
CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,17,,
CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,9,,
CALISTOGA JUNIOR SENIOR HIGH SCHOOL,Calistoga,Napa,10,,
CAMINO NUEVO HIGH SCH DALZELL LANCE,Los Angeles,Los Angeles,18,,
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,155,25,15
CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,32,3,3
CANYON CREST ACADEMY,San Diego,San Diego,346,29,19
CANYON HIGH SCHOOL,Anaheim,Orange,121,10,5
CANYON HIGH SCHOOL,Canyon Country,Los Angeles,24,4,4
CANYON HILLS HIGH SCHOOL,San Diego,San Diego,45,3,3
CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,33,5,
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,106,11,8
