school,city,county,applied,admitted,attended,tot_enrolled,grade_12
M C LEARNING COMPLX-SCH OF BUS&TRSM,Los Angeles,Los Angeles,7,,,,
MADERA HIGH SCHOOL,Madera,Madera,32,7,5,1865,410
MADERA SOUTH HIGH SCHOOL,Madera,Madera,29,4,3,1855,438
MADISON HIGH SCHOOL,San Diego,San Diego,14,,,848,192
MADISON PARK ACADEMY,Oakland,Alameda,18,,,664,92
MAGNOLIA HIGH SCHOOL,Anaheim,Orange,34,5,,1662,424
MAGNOLIA SCIENCE ACADEMY - 1 RESEDA,Reseda,Los Angeles,19,4,,,
MAGNOLIA SCIENCE ACADEMY 2 VALLEY,Van Nuys,Los Angeles,16,8,6,532,44
MAGNOLIA SCIENCE ACADEMY-SANTA ANA,Santa Ana,Orange,17,5,5,504,36
MAKING WAVES ACADEMY,Richmond,Contra Costa,49,9,4,1103,77
MALIBU HIGH SCHOOL,Malibu,Los Angeles,25,9,5,390,102
MAMMOTH HIGH SCHOOL,Mammoth Lakes,Mono,9,,,351,88
MANTECA HIGH SCHOOL,Manteca,San Joaquin,35,4,,1858,470
MANUAL ARTS SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,23,4,,1039,230
MAR VISTA HIGH SCHOOL,Imperial Beach,San Diego,22,3,,1266,322
MARCO ANTONIO FIREBAUGH HS,Lynwood,Los Angeles,42,6,,1581,325
MARE ISLAND TECHNOLOGY ACADEMY,Vallejo,Solano,16,,,,
MARIA CARRILLO HIGH SCHOOL,Santa Rosa,Sonoma,57,6,3,1585,403
MARINA HIGH SCHOOL,Huntington Beach,Orange,68,10,,2007,436
MARINA HIGH SCHOOL,Marina,Monterey,11,,,725,186
MARIPOSA COUNTY HIGH SCHOOL,Mariposa,Mariposa,5,,,457,87
MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles,143,18,11,2178,543
MARTIN LUTHER KING HIGH SCHOOL,Riverside,Riverside,63,11,6,2813,709
MARYSVILLE CHARTER ACAD ARTS,Marysville,Yuba,9,3,,371,60
MARYSVILLE HIGH SCHOOL,Marysville,Yuba,10,,,1067,197
MATH AND SCIENCE COLLEGE PREP,Los Angeles,Los Angeles,17,,,534,121
MATH SCIENCE TECHNOLOGY MAGNET,Los Angeles,Los Angeles,20,8,5,534,121
MATILDA TORRES HIGH SCHOOL,Madera,Madera,62,10,5,2057,490
MAYFAIR HIGH SCHOOL,Lakewood,Los Angeles,25,,,2457,397
MAYWOOD ACADEMY HIGH SCHOOL,Maywood,Los Angeles,10,,,956,162
MAYWOOD CTR ENRICHED STUDIES,Maywood,Los Angeles,28,8,,1128,204
MCCLYMONDS HIGH SCHOOL,Oakland,Alameda,11,,,265,71
MCFARLAND HIGH SCHOOL,Mcfarland,Kern,16,,,14,10
MCKINLEYVILLE HIGH SCHOOL,Mckinleyville,Humboldt,5,,,549,122
MCLANE HIGH SCHOOL,Fresno,Fresno,62,6,4,2045,444
MENDOCINO HIGH SCHOOL,Mendocino,Mendocino,15,6,,152,34
MENDOTA HIGH SCHOOL,Mendota,Fresno,18,4,,1085,267
MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,173,23,10,2152,570
MERCED HIGH SCHOOL,Merced,Merced,37,3,,1951,454
MERRILL F WEST HIGH SCHOOL,Tracy,San Joaquin,51,6,5,2066,560
MERVYN M DYMALLY HIGH SCHOOL,Los Angeles,Los Angeles,13,,,720,149
MESA VERDE HIGH SCHOOL,Citrus Heights,Sacramento,15,,,881,204
MET SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,7,,,221,46
METWEST HIGH SCHOOL,Oakland,Alameda,17,,,237,68
MIDDLE COLLEGE HIGH SCHOOL,Los Angeles,Los Angeles,14,3,,353,87
MIDDLE COLLEGE HIGH SCHOOL,San Bernardino,San Bernardino,33,5,4,258,48
MIDDLE COLLEGE HIGH SCHOOL,San Pablo,Contra Costa,50,10,9,283,60
MIDDLE COLLEGE HIGH SCHOOL,Santa Ana,Orange,37,5,,407,90
MIDDLE COLLEGE HIGH SCHOOL,Stockton,San Joaquin,42,10,6,338,82
MIDDLETOWN HIGH SCHOOL,Middletown,Lake,6,,,406,91
MILLENNIUM HIGH SCHOOL,Tracy,San Joaquin,23,,,484,127
MILLS HIGH SCHOOL,Millbrae,San Mateo,127,17,8,1119,291
MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,215,19,14,3029,806
MILPITAS MIDDLE COLLEGE HS,Milpitas,Santa Clara,9,,,39,26
MIRA COSTA HIGH SCHOOL,Manhattan Beach,Los Angeles,271,47,27,2568,647
MIRA LOMA HIGH SCHOOL,Sacramento,Sacramento,101,28,21,1632,417
MIRA MESA HIGH SCHOOL,San Diego,San Diego,74,15,11,2228,582
MIRA MONTE HIGH SCHOOL,Bakersfield,Kern,24,3,,2170,686
MIRAMONTE HIGH SCHOOL,Orinda,Contra Costa,157,16,4,1188,290
MISSION BAY HIGH,San Diego,San Diego,57,5,5,1166,262
MISSION EARLY COLLEGE HIGH SCH,Santa Clara,Santa Clara,23,,,189,39
MISSION HILLS HIGH SCHOOL,San Marcos,San Diego,93,6,3,2834,693
MISSION OAK HIGH SCHOOL,Tulare,Tulare,21,6,,1741,429
MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda,316,43,28,1822,475
MISSION SENIOR HIGH SCHOOL,San Francisco,San Francisco,76,34,25,1084,268
MISSION VIEJO HIGH SCHOOL,Mission Viejo,Orange,46,5,3,1628,407
MISSION VISTA ACADEMY,Corona,Riverside,8,,,5686,169
MISSION VISTA HIGH SCHOOL,Oceanside,San Diego,63,5,3,1662,362
MODESTO HIGH SCHOOL,Modesto,Stanislaus,43,7,3,2405,637
MONACHE HIGH SCHOOL,Porterville,Tulare,28,3,,1934,442
MONROVIA HIGH SCHOOL,Monrovia,Los Angeles,37,3,3,1479,349
MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,321,33,25,1636,421
MONTCLAIR HIGH SCHOOL,Montclair,San Bernardino,30,3,,2605,652
MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,225,28,20,2168,569
MONTE VISTA HIGH SCHOOL,Spring Valley,San Diego,22,4,,1537,410
MONTEBELLO HIGH SCHOOL,Montebello,Los Angeles,41,6,,2007,572
MONTEREY HIGH SCHOOL,Monterey,Monterey,48,8,5,1326,296
MONTEREY TRAIL HIGH SCHOOL,Elk Grove,Sacramento,72,3,,2298,584
MONTGOMERY HIGH SCHOOL,San Diego,San Diego,42,6,5,1658,473
MONTGOMERY HIGH SCHOOL,Santa Rosa,Sonoma,29,5,3,1433,339
MOORPARK HIGH SCHOOL,Moorpark,Ventura,45,,,1821,456
MORENO VALLEY HIGH SCHOOL,Moreno Valley,Riverside,34,4,,2143,503
MORNINGSIDE HIGH SCHOOL,Inglewood,Los Angeles,14,3,,483,112
MORRO BAY HIGH SCHOOL,Morro Bay,San Luis Obispo,26,3,,773,184
MORSE HIGH SCHOOL,San Diego,San Diego,34,6,,1614,413
MOUNT CARMEL HIGH SCHOOL,San Diego,San Diego,91,,,1831,467
MOUNT DIABLO HIGH SCHOOL,Concord,Contra Costa,24,,,1477,431
MOUNT EDEN HIGH SCHOOL,Hayward,Alameda,69,7,3,1892,453
MOUNT EVEREST ACADEMY,San Diego,San Diego,12,3,,205,30
MOUNT MIGUEL HIGH SCHOOL,Spring Valley,San Diego,31,5,,1506,420
MOUNT PLEASANT HIGH SCHOOL,San Jose,Santa Clara,26,4,4,1109,305
MOUNT SAC EARLY COLLEGE ACADEMY,West Covina,Los Angeles,19,,,263,90
MOUNT SHASTA HIGH SCHOOL,Mount Shasta,Siskiyou,5,,,262,60
MOUNT WHITNEY HIGH SCHOOL,Visalia,Tulare,18,,,1629,333
MOUNTAIN HOUSE HIGH SCHOOL,Mountain House,San Joaquin,262,30,22,2275,482
MOUNTAIN VIEW HIGH SCHOOL,El Monte,Los Angeles,24,5,5,1192,326
MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara,251,30,20,2202,603
MURRIETA MESA HIGH SCHOOL,Murrieta,Riverside,31,4,,2228,593
MURRIETA VALLEY HIGH SCHOOL,Murrieta,Riverside,34,5,,2173,552
NAPA HIGH SCHOOL,Napa,Napa,34,7,5,1757,482
NATHANIEL NARBONNE HIGH SCHOOL,Harbor City,Los Angeles,54,5,,1667,411
NATOMAS CHARTER SCHOOL,Sacramento,Sacramento,23,4,4,1863,139
NATOMAS HIGH SCHOOL,Sacramento,Sacramento,25,,,1863,139
NATOMAS PACIFIC PATHWAYS PREP,Sacramento,Sacramento,34,6,3,623,150
NAVA COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,26,4,,613,98
NEVADA UNION HIGH SCHOOL,Grass Valley,Nevada,19,,,1457,282
NEW DESIGNS CHARTER SCHOOL,Los Angeles,Los Angeles,11,,,797,82
NEW OPEN WORLD ACADEMY,Los Angeles,Los Angeles,15,,,935,82
NEW TECHNOLOGY HIGH SCHOOL,Napa,Napa,11,,,364,100
NEW WEST CHARTER SCHOOL,Los Angeles,Los Angeles,69,7,4,998,136
NEWARK MEMORIAL HIGH SCHOOL,Newark,Alameda,64,11,8,1407,364
NEWBURY PARK HIGH SCHOOL,Newbury Park,Ventura,80,11,5,2080,565
NEWPORT HARBOR HIGH SCHOOL,Newport Beach,Orange,66,8,3,2217,586
NIPOMO HIGH SCHOOL,Nipomo,San Luis Obispo,7,,,867,204
NOGALES HIGH SCHOOL,La Puente,Los Angeles,31,3,,1608,417
NORCO HIGH SCHOOL,Norco,Riverside,9,,,2026,477
NORDHOFF HIGH SCHOOL,Ojai,Ventura,17,,,620,163
NORTE VISTA SENIOR HIGH SCHOOL,Riverside,Riverside,19,6,4,1905,472
NORTH HIGH SCHOOL,Bakersfield,Kern,10,,,2148,488
NORTH HIGH SCHOOL,Torrance,Los Angeles,62,12,4,1811,457
NORTH HOLLYWOOD HIGH SCHOOL,North Hollywood,Los Angeles,138,25,10,2482,632
NORTH MONTEREY COUNTY HIGH SCH,Castroville,Monterey,29,5,,1284,314
NORTH SALINAS HIGH SCHOOL,Salinas,Monterey,51,8,4,2125,503
NORTH TAHOE HIGH SCHOOL,Tahoe City,Placer,20,3,,491,126
NORTHCOAST PREPARATORY ACADEMY,Arcata,Humboldt,7,,,130,14
NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,119,13,8,1535,374
NORTHRIDGE ACADEMY HIGH SCHOOL,Northridge,Los Angeles,14,,,916,212
NORTHVIEW HIGH SCHOOL,Covina,Los Angeles,21,3,,1264,310
NORTHWOOD HIGH SCHOOL,Irvine,Orange,287,34,12,2310,574
NORTON SCIENCE & LANGUAGE ACADEMY,San Bernardino,San Bernardino,5,,,,
NORWALK HIGH SCHOOL,Norwalk,Los Angeles,35,,,1980,446
NOVA ACADEMY EARLY COLLEGE HS,Santa Ana,Orange,10,,,288,49
NOVATO HIGH SCHOOL,Novato,Marin,54,10,5,1393,374
NUVIEW BRIDGE EARLY COLLEGE HS,Nuevo,Riverside,7,,,675,133
OAK GROVE HIGH SCHOOL,San Jose,Santa Clara,53,3,3,1417,389
OAK HILLS HIGH SCHOOL,Oak Hills,San Bernardino,27,5,,2513,617
OAK PARK HIGH SCHOOL,Oak Park,Ventura,123,8,4,1410,323
OAK PARK INDEPENDENT SCH,Oak Park,Ventura,7,,,193,43
OAK RIDGE HIGH SCHOOL,El Dorado Hills,El Dorado,121,15,12,2375,629
OAKDALE HIGH SCHOOL,Oakdale,Stanislaus,13,,,1607,375
OAKLAND CHARTER HIGH SCHOOL,Oakland,Alameda,37,13,8,1813,456
OAKLAND HIGH SCHOOL,Oakland,Alameda,92,14,8,1813,456
OAKLAND INTERNATIONAL HIGH SCH,Oakland,Alameda,15,,,1813,456
OAKLAND MILITARY INST COL PREP,Oakland,Alameda,19,,,518,65
OAKLAND SCHOOL FOR THE ARTS,Oakland,Alameda,26,3,,780,95
OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda,190,27,12,1813,456
OAKLAND UNITY HIGH SCHOOL,Oakland,Alameda,23,,,304,80
OAKMONT HIGH SCHOOL,Roseville,Placer,35,6,5,1323,327
OCEAN GROVE CHARTER SCHOOL,Placerville,El Dorado,7,,,,
OCEAN VIEW HIGH SCHOOL,Huntington Beach,Orange,24,4,,1216,309
OCEANA HIGH SCHOOL,Pacifica,San Mateo,53,7,3,491,122
OCEANSIDE HIGH SCHOOL,Oceanside,San Diego,36,4,,1828,401
ODYSSEY STEM ACADEMY,Lakewood,Los Angeles,30,,,388,110
OFARRELL CHARTER SCHOOL,San Diego,San Diego,25,,,1819,122
OLYMPIAN HIGH SCHOOL,Chula Vista,San Diego,89,6,4,2324,603
ONTARIO HIGH SCHOOL,Ontario,San Bernardino,33,3,,2121,554
OPTIONS FOR YOUTH - ACTON-FONTANA 2,Fontana,San Bernardino,7,,,,
OPTIONS FOR YOUTH DUARTE - PASADENA,Pasadena,Los Angeles,12,,,3385,529
ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange,192,44,21,2288,397
ORANGE COVE HIGH SCHOOL,Orange Cove,Fresno,9,3,,631,110
ORANGE GLEN HIGH SCHOOL,Escondido,San Diego,31,7,5,1871,459
ORANGE HIGH SCHOOL,Orange,Orange,12,,,1748,399
ORANGE VISTA HIGH SCHOOL,Perris,Riverside,55,10,,2474,644
ORCUTT ACADEMY CHARTER HIGH SCHOOL,Orcutt,Santa Barbara,22,4,,778,124
ORESTIMBA HIGH SCHOOL,Newman,Stanislaus,18,,,1002,232
ORLAND HIGH SCHOOL,Orland,Glenn,11,,,806,206
OROSI HIGH SCHOOL,Orosi,Tulare,11,,,1084,238
OROVILLE HIGH SCHOOL,Oroville,Butte,11,,,870,214
ORTHOPAEDIC HOSPITAL MAGNET HS,Los Angeles,Los Angeles,29,6,4,679,170
OSCAR DE LA HOYA ANIMO CHARTER,Los Angeles,Los Angeles,22,5,,550,128
OTAY RANCH HIGH SCHOOL,Chula Vista,San Diego,87,11,7,2546,652
OXFORD ACADEMY,Cypress,Orange,120,17,6,1293,194
OXFORD DAY ACADEMY,East Palo Alto,San Mateo,6,,,105,42
OXNARD HIGH SCHOOL,Oxnard,Ventura,47,5,,2593,689
OXNARD MIDDLE COLLEGE HIGH SCH,Oxnard,Ventura,17,,,195,45
PACHECO HIGH SCHOOL,Los Banos,Merced,37,4,,1786,456
PACIFIC COAST ACADEMY,Poway,San Diego,6,,,5612,125
PACIFIC COLLEGIATE SCHOOL,Santa Cruz,Santa Cruz,36,10,7,540,84
PACIFIC GROVE HIGH SCHOOL,Pacific Grove,Monterey,42,6,3,520,115
PACIFIC HIGH SCHOOL,San Bernardino,San Bernardino,27,3,,1222,274
PACIFIC LAW ACADEMY,Stockton,San Joaquin,8,,,198,48
PACIFICA HIGH SCHOOL,Garden Grove,Orange,45,,,1640,433
PACIFICA HIGH SCHOOL,Oxnard,Ventura,44,10,7,2928,769
PAJARO VALLEY HS,Watsonville,Santa Cruz,34,5,,1428,325
PALISADES CHARTER HIGH SCHOOL,Pacific Palisades,Los Angeles,265,38,16,2991,765
PALM DESERT HIGH SCHOOL,Palm Desert,Riverside,54,11,5,2039,474
PALM SPRINGS HIGH SCHOOL,Palm Springs,Riverside,31,4,,1508,369
PALMDALE ACADEMY CHARTER,Palmdale,Los Angeles,16,,,2358,664
PALMDALE AEROSPACE ACADEMY,Palmdale,Los Angeles,31,6,,2213,199
PALMDALE HIGH SCHOOL,Palmdale,Los Angeles,22,3,,2358,664
PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,285,41,26,1932,520
PALOMA VALLEY HIGH SCHOOL,Menifee,Riverside,26,5,3,2593,676
PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles,117,25,12,1419,367
PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,236,42,25,2175,561
PANORAMA HIGH SCHOOL,Panorama City,Los Angeles,26,11,8,1420,364
PARADISE HIGH SCHOOL,Paradise,Butte,6,,,506,117
PARAMOUNT HIGH SCHOOL,Paramount,Los Angeles,75,7,,3547,958
PARLIER HIGH SCHOOL,Parlier,Fresno,15,,,928,246
PASADENA HIGH SCHOOL,Pasadena,Los Angeles,62,13,5,1355,338
PASO ROBLES HIGH SCHOOL,Paso Robles,San Luis Obispo,27,5,,2037,460
PATRICK HENRY HIGH SCHOOL,San Diego,San Diego,109,4,,2512,571
PATRIOT HIGH SCHOOL,Jurupa Valley,Riverside,32,4,,2482,605
PATTERSON HIGH SCHOOL,Patterson,Stanislaus,33,7,3,1855,425
PERFORMING ARTS COMMUNITY SCHO,Los Angeles,Los Angeles,21,3,,514,98
PERRIS HIGH SCHOOL,Perris,Riverside,7,3,,2106,497
PETALUMA HIGH SCHOOL,Petaluma,Sonoma,55,3,,1253,315
PHILLIP & SALA BURTON ACAD HS,San Francisco,San Francisco,79,4,,1031,236
PHINEAS BANNING HIGH SCHOOL,Wilmington,Los Angeles,48,4,,2437,538
PIEDMONT HIGH SCHOOL,Piedmont,Alameda,116,17,10,730,190
PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,150,15,8,1945,454
PIERCE HIGH SCHOOL,Arbuckle,Colusa,10,,,503,137
PINER HIGH SCHOOL,Santa Rosa,Sonoma,22,,,1384,324
PINOLE VALLEY HIGH SCHOOL,Pinole,Contra Costa,59,6,4,1292,294
PIONEER HIGH SCHOOL,San Jose,Santa Clara,99,17,13,1469,362
PIONEER HIGH SCHOOL,Whittier,Los Angeles,33,5,,1072,276
PIONEER HIGH SCHOOL,Woodland,Yolo,36,6,,1635,397
PIONEER VALLEY HIGH SCHOOL,Santa Maria,Santa Barbara,51,11,4,3112,750
PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,93,13,10,3532,926
PLACER HIGH SCHOOL,Auburn,Placer,13,,,1303,337
PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,99,4,,2512,589
PLEASANT VALLEY SR HIGH SCHOOL,Chico,Butte,21,3,,1922,432
POINT LOMA HIGH SCHOOL,San Diego,San Diego,86,7,3,1682,384
POMONA HIGH SCHOOL,Pomona,Los Angeles,11,,,1105,272
PONDEROSA HIGH SCHOOL,Shingle Springs,El Dorado,26,,,1689,423
PORT OF LOS ANGELES HS,San Pedro,Los Angeles,27,,,928,208
PORTERVILLE HIGH SCHOOL,Porterville,Tulare,16,3,,2136,488
PORTOLA HIGH SCHOOL,Irvine,Orange,288,30,11,2503,586
PORTOLA JUNIOR SENIOR HIGH SCHOOL,Portola,Plumas,6,,,279,53
POWAY HIGH SCHOOL,Poway,San Diego,71,7,3,2161,530
POWAY TO PALOMAR MIDDLE COLLEGE,San Diego,San Diego,9,,,81,41
PREUSS SCHOOL UCSD,La Jolla,San Diego,49,12,5,849,116
PROSPECT HIGH SCHOOL,Saratoga,Santa Clara,94,13,10,1492,380
PUBLIC SAFETY ACADEMY,Fairfield,Solano,7,,,739,61
PUBLIC SERVICE COMMUNITY SCHOO,Los Angeles,Los Angeles,15,3,,502,105
PUC CALS MIDDLE AND EARLY COLL,Los Angeles,Los Angeles,7,,,307,56
PUC COMMUNITY CHARTER EARLY COLL HS,Sylmar,Los Angeles,17,3,,777,87
PUC EARLY COLG ACADEMY LEADERS,Los Angeles,Los Angeles,5,,,215,50
PUC LAKEVIEW CHARTER HIGH SCHL,Sylmar,Los Angeles,23,,,440,81
PUC TRIUMPH CHARTER ACADEMY HS,Sylmar,Los Angeles,5,,,802,97
QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles,82,12,8,3170,818
QUINCY JUNIOR SENIOR HIGH SCHOOL,Quincy,Plumas,6,,,317,47
RAMONA HIGH SCHOOL,Ramona,San Diego,14,,,1482,363
RAMONA HIGH SCHOOL,Riverside,Riverside,47,5,,2190,542
RANCHO ALAMITOS HIGH SCHOOL,Garden Grove,Orange,28,4,3,1520,409
RANCHO BERNARDO HIGH SCHOOL,San Diego,San Diego,104,8,6,2278,596
RANCHO BUENA VISTA HIGH SCHOOL,Vista,San Diego,43,4,,1962,402
RANCHO CAMPANA HIGH SCHOOL,Camarillo,Ventura,48,9,4,845,197
RANCHO COTATE HIGH SCHOOL,Rohnert Park,Sonoma,29,,,1674,365
RANCHO CUCAMONGA HIGH SCHOOL,Rancho Cucamonga,San Bernardino,94,14,5,3343,869
RANCHO DOMINGUEZ PREP SCHOOL,Long Beach,Los Angeles,12,,,707,134
RANCHO MIRAGE HIGH SCHOOL,Rancho Mirage,Riverside,22,3,,1464,355
RANCHO SAN JUAN HIGH SCHOOL,Salinas,Monterey,66,20,8,1658,408
RANCHO VERDE HIGH SCHOOL,Moreno Valley,Riverside,41,,,2052,480
RAOUL WALLENBERG TRADITIONAL,San Francisco,San Francisco,49,8,4,551,143
RED BLUFF HIGH SCHOOL,Red Bluff,Tehama,16,3,3,1584,366
REDLANDS EAST VALLEY HS,Redlands,San Bernardino,32,4,,1866,444
REDLANDS HIGH SCHOOL,Redlands,San Bernardino,83,19,8,2219,544
REDONDO UNION HIGH SCHOOL,Redondo Beach,Los Angeles,166,23,16,2971,780
REDWOOD HIGH SCHOOL,Larkspur,Marin,193,26,16,1785,472
REDWOOD HIGH SCHOOL,Visalia,Tulare,44,9,,2468,545
REEDLEY HIGH SCHOOL,Reedley,Fresno,34,5,4,1750,357
REEDLEY MIDDLE COLLEGE HS,Reedley,Fresno,14,3,,247,53
RENAISSANCE ARTS ACADEMY,Los Angeles,Los Angeles,17,4,,462,27
RENAISSANCE HIGH SCHOOL ARTS,Long Beach,Los Angeles,7,3,,462,27
RESEDA HIGH SCHOOL,Reseda,Los Angeles,40,12,5,1354,303
REX & MARGARET FORTUNE ECHS,Elk Grove,Sacramento,5,,,1747,38
RIALTO HIGH SCHOOL,Rialto,San Bernardino,26,4,,2747,678
RICHARD GAHR HIGH SCHOOL,Cerritos,Los Angeles,44,,,1590,369
RICHMOND HIGH SCHOOL,Richmond,Contra Costa,56,10,8,1341,325
RIDGEVIEW HIGH SCHOOL,Bakersfield,Kern,53,4,3,2653,769
RIM OF THE WORLD HIGH SCHOOL,Lake Arrowhead,San Bernardino,12,,,897,196
RIO AMERICANO HIGH SCHOOL,Sacramento,Sacramento,70,8,4,1867,484
RIO LINDA SENIOR HIGH SCHOOL,Rio Linda,Sacramento,28,,,1596,369
RIO MESA HIGH SCHOOL,Oxnard,Ventura,14,4,,2078,543
RIO VISTA HIGH SCHOOL,Rio Vista,Solano,6,,,,
RIPON HIGH SCHOOL,Ripon,San Joaquin,22,,,1048,252
RISE KOHYANG HIGH SCHOOL,Los Angeles,Los Angeles,36,3,,470,98
RIVER CITY HIGH SCHOOL,West Sacramento,Yolo,66,3,,2209,577
RIVER SPRINGS CHARTER SCHOOL,Temecula,Riverside,7,,,7548,209
RIVER VALLEY HIGH SCHOOL,Yuba City,Sutter,36,7,4,1676,411
RIVERBANK HIGH SCHOOL,Riverbank,Stanislaus,11,,,788,207
RIVERDALE HIGH SCHOOL,Riverdale,Fresno,5,,,525,131
RIVERSIDE POLY HIGH SCHOOL,Riverside,Riverside,42,10,5,,
RIVERSIDE PREPARATORY,Oro Grande,San Bernardino,13,,,2401,171
RIVERSIDE STEM ACADEMY,Riverside,Riverside,30,4,,659,55
ROBERT A MILLIKAN HIGH SCHOOL,Long Beach,Los Angeles,147,28,11,3369,798
ROBERT F KENNEDY HIGH SCHOOL,Delano,Kern,24,5,3,1365,340
ROBERT FULTON COLLEGE PREP SCH,Van Nuys,Los Angeles,18,3,,1258,113
ROBERTO CRUZ LEADERSHIP ACDMY,San Jose,Santa Clara,11,,,242,66
ROCKLIN HIGH SCHOOL,Rocklin,Placer,66,7,3,2025,554
RONALD E MCNAIR HIGH SCHOOL,Stockton,San Joaquin,27,5,3,1713,426
ROSAMOND HIGH SCHOOL,Rosamond,Kern,9,,,902,186
ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,10,,,1250,189
ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,13,,,1250,189
ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,46,10,4,1673,492
ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,38,,,1515,405
ROSEVILLE HIGH SCHOOL,Roseville,Placer,21,3,3,1551,460
ROYAL HIGH SCHOOL,Simi Valley,Ventura,38,8,5,1933,500
RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,171,31,20,2529,622
RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside,21,4,,1323,330
RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco,93,20,13,680,166
SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,12,,,355,61
SADDLEBACK HIGH SCHOOL,Santa Ana,Orange,20,,,1499,341
SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego,106,9,6,1358,362
SAGE OAK CHARTER,Redlands,San Bernardino,6,,,3362,136
SAINT HELENA HIGH SCHOOL,Saint Helena,Napa,15,,,421,117
SALINAS HIGH SCHOOL,Salinas,Monterey,63,10,8,2446,584
SAMUELI ACADEMY,Santa Ana,Orange,18,3,,822,130
SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino,13,,,1475,299
SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,88,8,6,2765,711
SAN DIEGO HIGH SCHOOL,San Diego,San Diego,75,14,9,1855,505
SAN DIEGO SCHL CREATE/PERFORM,San Diego,San Diego,16,4,,1855,505
SAN DIEGUITO ACADEMY,Encinitas,San Diego,158,23,11,1954,532
SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,40,,,1248,316
SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,39,9,,1625,358
SAN FRANCISCO INTERNATIONAL HS,San Francisco,San Francisco,24,6,6,,
SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,85,11,6,1768,454
SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino,21,6,,1447,355
SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside,22,5,3,2509,572
SAN JACINTO LEADERSHIP ACADEMY,San Jacinto,Riverside,14,6,,2509,572
SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside,8,,,1569,93
SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,14,,,907,226
SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento,12,,,570,139
SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,103,6,3,2768,694
SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,110,7,5,2488,614
SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,33,3,3,1136,349
SAN LORENZO VALLEY HIGH SCHOOL,Felton,Santa Cruz,23,8,3,622,158
SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,100,16,11,1650,383
SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,129,10,9,3201,858
SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,82,18,12,1943,493
SAN MARIN HIGH SCHOOL,Novato,Marin,63,4,,1186,273
SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,104,17,8,837,197
SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,132,18,10,1578,453
SAN PASQUAL HIGH SCHOOL,Escondido,San Diego,35,5,3,1853,472
SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles,59,10,7,2481,603
SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,51,9,8,1302,355
SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,105,23,14,2024,585
SAN YSIDRO HIGH SCHOOL,San Diego,San Diego,61,16,8,2017,554
SANGER HIGH SCHOOL,Sanger,Fresno,36,7,,2443,630
SANGER WEST HIGH SCHOOL,Fresno,Fresno,28,,,1386,311
