school,city,county,applied,admitted,attended,tot_enrolled,grade_12
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,9,,,634,122
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,37,5,,3336,754
BELL GARDENS HIGH SCHOOL,Bell Gardens,Los Angeles,34,3,,2139,531
BELL HIGH SCHOOL,Bell,Los Angeles,55,10,4,2259,492
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,33,5,,1926,411
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,33,3,,2062,361
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,13,3,,663,115
BENICIA HIGH SCHOOL,Benicia,Solano,60,7,4,1405,360
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,43,5,,1350,317
BERKELEY HIGH SCHOOL,Berkeley,Alameda,319,73,37,3220,797
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,80,14,6,1178,314
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,5,,,626,158
BIRMINGHAM COMMUNITY CHARTER HS,Lake Balboa,Los Angeles,126,21,8,3090,706
BISHOP UNION HIGH SCHOOL,Bishop,Inyo,10,,,613,158
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,28,3,,1055,151
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,13,,,1864,466
BLUE RIDGE ACADEMY,Maricopa,Kern,12,4,,6931,192
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,47,11,5,1726,415
BONITA HIGH SCHOOL,La Verne,Los Angeles,42,6,,1866,448
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,86,15,9,2049,596
BONSALL HIGH SCHOOL,Bonsall,San Diego,9,,,331,83
BOSTONIA GLOBAL,El Cajon,San Diego,5,,,1175,24
BOYLE HEIGHTS STEM MAGNET HIGH SCH,Los Angeles,Los Angeles,11,,,,
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,128,13,11,1955,508
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,14,,,1840,396
BREA OLINDA HIGH SCHOOL,Brea,Orange,81,9,,1710,416
BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,6,,,566,123
BRIO COLLEGE PREP,Los Angeles,Los Angeles,33,3,,496,136
BUCHANAN HIGH SCHOOL,Clovis,Fresno,61,11,6,2606,631
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,10,,,474,97
BUENA HIGH SCHOOL,Ventura,Ventura,20,,,1685,409
BUENA PARK HIGH SCHOOL,Buena Park,Orange,31,7,,1726,411
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,30,,,1658,414
BULLARD HIGH SCHOOL,Fresno,Fresno,44,4,,2371,530
BURBANK HIGH SCHOOL,Burbank,Los Angeles,111,14,6,2471,591
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,164,13,4,1540,415
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,96,13,7,2481,559
CA ONLINE PUBLIC SCH CENTRAL VALLEY,Ripon,San Joaquin,6,,,,
CA ONLINE PUBLIC SCH MONTEREY BAY,Ripon,San Joaquin,7,,,,
CA ONLINE PUBLIC SCH NORTHERN CA,Ripon,San Joaquin,18,,,,
CA ONLINE PUBLIC SCHOOLS SOUTHRN CA,San Juan Capistrano,Orange,28,,,,
CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,62,11,4,935,254
