"Current Season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend"
"2022-23","NOV","67292","484967","Arizona","0.1388","13-17 years","2022-23, Arizona: 13-17 years"
"2023-24","DEC","7775","53853","Montana","0.1444","9-12 years","2023-24, Montana: 9-12 years"
"2024-25","DEC","15434","72711","Oklahoma","0.2123","6-23 months","2024-25, Oklahoma: 6-23 months"
"2022-23","AUG","234","84501","Louisiana","0.0028","6-23 months","2022-23, Louisiana: 6-23 months"
"2023-24","DEC","5249","36306","N. Mariana Islands","0.1446","18+ years","2023-24, N. Mariana Islands: 18+ years"
"2024-25","JAN","72226","457781","Idaho","0.1578","6 months to 17 years","2024-25, Idaho: 6 months to 17 years"
"2024-25","MAY","80788","257005","Washington","0.3143","2-4 years","2024-25, Washington: 2-4 years"
"2025-26","JUL",,,"Virginia",,"2-4 years","2025-26, Virginia: 2-4 years"
"2025-26","SEP",,,"Montana",,"18+ years","2025-26, Montana: 18+ years"
"2023-24","JUN","378","3518","American Samoa","0.1074","65+ years","2023-24, American Samoa: 65+ years"
"2023-24","NOV","117357","320540","New Jersey","0.3661","2-4 years","2023-24, New Jersey: 2-4 years"
"2024-25","AUG","8484","1359095","Tennessee","0.0062","50-64 years","2024-25, Tennessee: 50-64 years"
"2024-25","FEB","246709","741992","Connecticut","0.3325","50-64 years","2024-25, Connecticut: 50-64 years"
"2024-25","JUN","114085","780271","Georgia","0.1462","13-17 years","2024-25, Georgia: 13-17 years"
"2024-25","MAR","7608","18543","New Hampshire","0.4103","6-23 months","2024-25, New Hampshire: 6-23 months"
"2025-26","OCT",,,"West Virginia",,"6 months to 17 years","2025-26, West Virginia: 6 months to 17 years"
"2022-23","FEB","942435","8245960","North Carolina","0.1143","18+ years","2022-23, North Carolina: 18+ years"
"2022-23","SEP","23975","636430","Illinois","0.0377","9-12 years","2022-23, Illinois: 9-12 years"
"2023-24","DEC",,,"Hawaii",,"6-23 months","2023-24, Hawaii: 6-23 months"
"2024-25","DEC",,,"South Carolina",,"18-49 years","2024-25, South Carolina: 18-49 years"
"2024-25","MAR","1047340","2204369","New York State","0.4751","65+ years","2024-25, New York (excluding New York City): 65+ years"
"2025-26","JUL","183","2566115","Missouri","0.0001","18-49 years","2025-26, Missouri: 18-49 years"
"2022-23","OCT","210085","795142","Delaware","0.2642","18+ years","2022-23, Delaware: 18+ years"
"2023-24","AUG","17083","3498104","Kentucky","0.0049","18+ years","2023-24, Kentucky: 18+ years"
"2023-24","JAN","841255","8782478","Florida","0.0958","18-49 years","2023-24, Florida: 18-49 years"
"2024-25","APR","17505","103006","Idaho","0.1699","5-8 years","2024-25, Idaho: 5-8 years"
"2024-25","JUN","80240","193964","Illinois","0.4137","6-23 months","2024-25, Illinois: 6-23 months"
"2024-25","MAR","3096","28760","Puerto Rico","0.1076","6-23 months","2024-25, Puerto Rico: 6-23 months"
"2024-25","MAY","172867","771867","Puerto Rico","0.224","65+ years","2024-25, Puerto Rico: 65+ years"
"2025-26","SEP",,,"Delaware",,"18+ years","2025-26, Delaware: 18+ years"
"2022-23","JUN","779683","2375591","Pennsylvania","0.3282","50-64 years","2022-23, Pennsylvania (excluding Philadelphia County): 50-64 years"
"2022-23","NOV",,,"Virginia",,"50-64 years","2022-23, Virginia: 50-64 years"
"2023-24","AUG","28901","5493089","Tennessee","0.0053","18+ years","2023-24, Tennessee: 18+ years"
"2023-24","MAR","43025","122379","District of Columbia","0.3516","6 months to 17 years","2023-24, District of Columbia: 6 months to 17 years"
"2023-24","MAY",,,"Nebraska",,"13-17 years","2023-24, Nebraska: 13-17 years"
"2023-24","NOV","1354826","4409934","Minnesota","0.3072","18+ years","2023-24, Minnesota: 18+ years"
"2023-24","OCT","153124","1557567","Arizona","0.0983","6 months to 17 years","2023-24, Arizona: 6 months to 17 years"
"2024-25","AUG",,,"Chicago",,"18+ years","2024-25, Chicago: 18+ years"
"2024-25","OCT","220322","1338101","Maryland","0.1647","6 months to 17 years","2024-25, Maryland: 6 months to 17 years"
"2024-25","SEP","259023","1908545","North Carolina","0.1357","65+ years","2024-25, North Carolina: 65+ years"
"2025-26","JUL","428","3129179","Oklahoma","0.0001","18+ years","2025-26, Oklahoma: 18+ years"
"2022-23","APR","5497","48733","Marshall Islands","0.1128","18+ years","2022-23, Marshall Islands: 18+ years"
"2022-23","DEC","1496642","4569598","Colorado","0.3275","18+ years","2022-23, Colorado: 18+ years"
"2023-24","DEC","5457","12642","District of Columbia","0.4317","6-23 months","2023-24, District of Columbia: 6-23 months"
"2023-24","JUL","3","1279380","Minnesota","2.3449e-06","6 months to 17 years","2023-24, Minnesota: 6 months to 17 years"
"2024-25","MAY","562980","2390772","Wisconsin","0.2355","18-49 years","2024-25, Wisconsin: 18-49 years"
"2024-25","NOV",,,"South Carolina",,"9-12 years","2024-25, South Carolina: 9-12 years"
"2022-23","AUG","374","127263","Washington","0.0029","6-23 months","2022-23, Washington: 6-23 months"
"2022-23","AUG","0","16717","Republic of Palau","0","18+ years","2022-23, Republic of Palau: 18+ years"
"2022-23","JAN","44409","225823","Kentucky","0.1967","5-8 years","2022-23, Kentucky: 5-8 years"
"2023-24","JUN","438","22302","U.S. Virgin Islands ","0.0196","50-64 years","2023-24, U.S. Virgin Islands : 50-64 years"
"2024-25","DEC","350150","1155279","Wisconsin","0.3031","50-64 years","2024-25, Wisconsin: 50-64 years"
"2025-26","DEC",,,"Rhode Island",,"6 months to 17 years","2025-26, Rhode Island: 6 months to 17 years"
"2022-23","JUN","95037","364088","West Virginia","0.261","50-64 years","2022-23, West Virginia: 50-64 years"
"2023-24","NOV","2281922","9091146","Pennsylvania","0.251","18+ years","2023-24, Pennsylvania (excluding Philadelphia County): 18+ years"
"2024-25","JUL","37","341455","Idaho","0.0001","65+ years","2024-25, Idaho: 65+ years"
"2025-26","NOV",,,"Kansas",,"9-12 years","2025-26, Kansas: 9-12 years"
"2025-26","SEP","149","9047","Guam","0.0165","2-4 years","2025-26, Guam: 2-4 years"
"2022-23","DEC","1747","3344","American Samoa","0.5224","5-8 years","2022-23, American Samoa: 5-8 years"
"2022-23","JAN","93305","364088","West Virginia","0.2563","50-64 years","2022-23, West Virginia: 50-64 years"
"2023-24","DEC","56219","248624","New Hampshire","0.2261","6 months to 17 years","2023-24, New Hampshire: 6 months to 17 years"
"2024-25","FEB","55213","258595","Vermont","0.2135","18-49 years","2024-25, Vermont: 18-49 years"
"2024-25","SEP","8513","304277","Missouri","0.028","5-8 years","2024-25, Missouri: 5-8 years"
"2025-26","NOV",,,"U.S. Virgin Islands ",,"9-12 years","2025-26, U.S. Virgin Islands : 9-12 years"
"2022-23","JUL","47","543926","District of Columbia","0.0001","18+ years","2022-23, District of Columbia: 18+ years"
"2022-23","MAR","780208","4021146","Michigan","0.194","18-49 years","2022-23, Michigan: 18-49 years"
"2022-23","MAY","163257","510587","Pennsylvania","0.3197","5-8 years","2022-23, Pennsylvania (excluding Philadelphia County): 5-8 years"
"2023-24","DEC","1912747","4776747","Florida","0.4004","65+ years","2023-24, Florida: 65+ years"
"2024-25","AUG",,,"Hawaii",,"6-23 months","2024-25, Hawaii: 6-23 months"
"2024-25","JAN","144847","1043891","Louisiana","0.1388","6 months to 17 years","2024-25, Louisiana: 6 months to 17 years"
"2024-25","MAR","84813","265971","Colorado","0.3189","5-8 years","2024-25, Colorado: 5-8 years"
"2025-26","JUL","0","3800","American Samoa","0","65+ years","2025-26, American Samoa: 65+ years"
"2025-26","NOV",,,"Utah",,"13-17 years","2025-26, Utah: 13-17 years"
"2022-23","AUG","20638","2243620","Pennsylvania","0.0092","65+ years","2022-23, Pennsylvania (excluding Philadelphia County): 65+ years"
"2022-23","JUN","15352","47809","Delaware","0.3211","9-12 years","2022-23, Delaware: 9-12 years"
"2023-24","FEB","6252","104988","Puerto Rico","0.0595","5-8 years","2023-24, Puerto Rico: 5-8 years"
"2023-24","FEB",,,"South Carolina",,"65+ years","2023-24, South Carolina: 65+ years"
"2023-24","OCT",,,"Nebraska",,"2-4 years","2023-24, Nebraska: 2-4 years"
"2024-25","AUG","1061","347155","Tennessee","0.0031","5-8 years","2024-25, Tennessee: 5-8 years"
"2024-25","OCT","66278","945149","Oklahoma","0.0701","6 months to 17 years","2024-25, Oklahoma: 6 months to 17 years"
"2022-23","FEB",,,"Nebraska",,"2-4 years","2022-23, Nebraska: 2-4 years"
"2022-23","JAN","9942","30440","District of Columbia","0.3266","5-8 years","2022-23, District of Columbia: 5-8 years"
"2022-23","JUN","2139","16628","Guam","0.1286","65+ years","2022-23, Guam: 65+ years"
"2022-23","OCT","17852","105625","Missouri","0.169","6-23 months","2022-23, Missouri: 6-23 months"
"2023-24","DEC","127089","607698","Illinois","0.2091","5-8 years","2023-24, Illinois: 5-8 years"
"2023-24","FEB","548552","2273142","North Carolina","0.2413","6 months to 17 years","2023-24, North Carolina: 6 months to 17 years"
"2023-24","JUL","36","454372","New Jersey","0.0001","9-12 years","2023-24, New Jersey: 9-12 years"
"2023-24","NOV","19332","54374","Iowa","0.3555","6-23 months","2023-24, Iowa: 6-23 months"
"2024-25","APR","36904","123556","Oregon","0.2987","2-4 years","2024-25, Oregon: 2-4 years"
"2025-26","DEC","120436","696889","Oklahoma","0.1728","50-64 years","2025-26, Oklahoma: 50-64 years"
"2022-23","AUG","524","136081","Puerto Rico","0.0039","9-12 years","2022-23, Puerto Rico: 9-12 years"
"2022-23","DEC","64980","315858","New Hampshire","0.2057","50-64 years","2022-23, New Hampshire: 50-64 years"
"2022-23","JAN","6409","15138","North Dakota","0.4234","6-23 months","2022-23, North Dakota: 6-23 months"
"2022-23","SEP","1048","53733","Montana","0.0195","9-12 years","2022-23, Montana: 9-12 years"
"2023-24","JUN",,,"Rhode Island",,"65+ years","2023-24, Rhode Island: 65+ years"
"2023-24","FEB",,,"South Carolina",,"6 months to 17 years","2023-24, South Carolina: 6 months to 17 years"
"2023-24","MAR","1239857","2296530","Pennsylvania","0.5399","65+ years","2023-24, Pennsylvania (excluding Philadelphia County): 65+ years"
"2023-24","SEP","194907","5296844","Illinois","0.0368","18-49 years","2023-24, Illinois: 18-49 years"
"2024-25","FEB","78426","193964","Illinois","0.4043","6-23 months","2024-25, Illinois: 6-23 months"
"2024-25","FEB","218818","696951","South Dakota","0.314","18+ years","2024-25, South Dakota: 18+ years"
"2025-26","SEP",,,"Virginia",,"2-4 years","2025-26, Virginia: 2-4 years"
"2022-23","APR","76046","125515","North Dakota","0.6059","65+ years","2022-23, North Dakota: 65+ years"
"2022-23","JAN","2","361","Republic of Palau","0.0055","6-23 months","2022-23, Republic of Palau: 6-23 months"
"2022-23","NOV","10442","42827","North Dakota","0.2438","5-8 years","2022-23, North Dakota: 5-8 years"
"2023-24","FEB","4278","40865","Wyoming","0.1047","13-17 years","2023-24, Wyoming: 13-17 years"
"2023-24","JAN","647255","990361","Minnesota","0.6536","65+ years","2023-24, Minnesota: 65+ years"
"2024-25","NOV","7186","52436","Montana","0.137","5-8 years","2024-25, Montana: 5-8 years"
"2022-23","DEC","612688","1077759","Missouri","0.5685","65+ years","2022-23, Missouri: 65+ years"
"2022-23","SEP","15209","379115","Washington","0.0401","5-8 years","2022-23, Washington: 5-8 years"
"2022-23","SEP","13702","175533","North Carolina","0.0781","6-23 months","2022-23, North Carolina: 6-23 months"
"2023-24","AUG","1640","676604","Nevada","0.0024","6 months to 17 years","2023-24, Nevada: 6 months to 17 years"
"2023-24","JAN","69538","479064","Michigan","0.1452","9-12 years","2023-24, Michigan: 9-12 years"
"2023-24","NOV",,,"Massachusetts",,"5-8 years","2023-24, Massachusetts: 5-8 years"
"2024-25","AUG","40163","1149991","Maine","0.0349","18+ years","2024-25, Maine: 18+ years"
"2024-25","MAR","11094","75997","West Virginia","0.146","5-8 years","2024-25, West Virginia: 5-8 years"
"2024-25","APR","322879","1263528","Indiana","0.2555","50-64 years","2024-25, Indiana: 50-64 years"
"2024-25","AUG","1645","371060","District of Columbia","0.0044","18-49 years","2024-25, District of Columbia: 18-49 years"
"2024-25","NOV","62","6602","U.S. Virgin Islands ","0.0094","13-17 years","2024-25, U.S. Virgin Islands : 13-17 years"
"2024-25","OCT","324447","4336342","Florida","0.0748","6 months to 17 years","2024-25, Florida: 6 months to 17 years"
"2025-26","AUG",,,"Arizona",,"6-23 months","2025-26, Arizona: 6-23 months"
"2025-26","DEC","648638","3531346","Louisiana","0.1837","18+ years","2025-26, Louisiana: 18+ years"
"2022-23","DEC","131482","458193","New Jersey","0.287","9-12 years","2022-23, New Jersey: 9-12 years"
"2022-23","SEP","81850","1914164","New Jersey","0.0428","50-64 years","2022-23, New Jersey: 50-64 years"
"2024-25","AUG","515","228687","Kentucky","0.0023","9-12 years","2024-25, Kentucky: 9-12 years"
"2024-25","MAR","66686","360233","Arizona","0.1851","9-12 years","2024-25, Arizona: 9-12 years"
"2025-26","NOV",,,"Wisconsin",,"65+ years","2025-26, Wisconsin: 65+ years"
"2025-26","OCT","86032","572419","District of Columbia","0.1503","18+ years","2025-26, District of Columbia: 18+ years"
"2023-24","AUG","4939","2532557","Ohio","0.002","6 months to 17 years","2023-24, Ohio: 6 months to 17 years"
"2023-24","JAN","1052712","3401409","Oregon","0.3095","18+ years","2023-24, Oregon: 18+ years"
"2024-25","FEB","19786","97855","New Mexico","0.2022","5-8 years","2024-25, New Mexico: 5-8 years"
"2024-25","JUN","1391","4839","N. Mariana Islands","0.2875","65+ years","2024-25, N. Mariana Islands: 65+ years"
"2025-26","NOV",,,"New Hampshire",,"18+ years","2025-26, New Hampshire: 18+ years"
"2022-23","FEB","45484","115234","Arizona","0.3947","6-23 months","2022-23, Arizona: 6-23 months"
"2022-23","JUN","62901","127263","Washington","0.4943","6-23 months","2022-23, Washington: 6-23 months"
"2022-23","MAY","2","361","Republic of Palau","0.0055","6-23 months","2022-23, Republic of Palau: 6-23 months"
"2023-24","DEC","79782","553960","Mississippi","0.144","50-64 years","2023-24, Mississippi: 50-64 years"
"2023-24","FEB","14813","50316","Nevada","0.2944","6-23 months","2023-24, Nevada: 6-23 months"
"2023-24","JAN","35780","103072","Missouri","0.3471","6-23 months","2023-24, Missouri: 6-23 months"
"2023-24","SEP","178471","1145490","Indiana","0.1558","65+ years","2023-24, Indiana: 65+ years"
"2024-25","JAN",,,"Massachusetts",,"18-49 years","2024-25, Massachusetts: 18-49 years"
"2024-25","JAN","23713","177622","Alabama","0.1335","2-4 years","2024-25, Alabama: 2-4 years"
"2024-25","JUN","36128","157390","Arkansas","0.2295","9-12 years","2024-25, Arkansas: 9-12 years"
"2024-25","MAY","153993","2077370","Alabama","0.0741","18-49 years","2024-25, Alabama: 18-49 years"
"2025-26","NOV",,,"South Carolina",,"6-23 months","2025-26, South Carolina: 6-23 months"
"2022-23","AUG","0","6476","U.S. Virgin Islands ","0","13-17 years","2022-23, U.S. Virgin Islands : 13-17 years"
"2022-23","MAR","105193","375133","Colorado","0.2804","13-17 years","2022-23, Colorado: 13-17 years"
"2023-24","JUN",,,"Kansas",,"2-4 years","2023-24, Kansas: 2-4 years"
"2023-24","NOV","0","573613","Georgia","0","9-12 years","2023-24, Georgia: 9-12 years"
"2023-24","OCT",,,"Nebraska",,"6-23 months","2023-24, Nebraska: 6-23 months"
"2024-25","OCT","4577","30070","North Dakota","0.1522","2-4 years","2024-25, North Dakota: 2-4 years"
"2024-25","OCT",,,"Nebraska",,"9-12 years","2024-25, Nebraska: 9-12 years"
"2025-26","NOV",,,"Nebraska",,"18-49 years","2025-26, Nebraska: 18-49 years"
"2022-23","JUL","2","27737","District of Columbia","0.0001","13-17 years","2022-23, District of Columbia: 13-17 years"
"2022-23","SEP","32223","841423","Oregon","0.0383","6 months to 17 years","2022-23, Oregon: 6 months to 17 years"
"2024-25","DEC","18969","84214","Louisiana","0.2252","6-23 months","2024-25, Louisiana: 6-23 months"
"2024-25","JUN","38955","118505","Arizona","0.3287","6-23 months","2024-25, Arizona: 6-23 months"
"2024-25","MAY","61646","343334","North Dakota","0.1796","18-49 years","2024-25, North Dakota: 18-49 years"
"2024-25","SEP","5906","37742","Maine","0.1565","2-4 years","2024-25, Maine: 2-4 years"
"2023-24","FEB","10336","36282","Vermont","0.2849","13-17 years","2023-24, Vermont: 13-17 years"
"2023-24","SEP","135021","2347892","New York State","0.0575","50-64 years","2023-24, New York (excluding New York City): 50-64 years"
"2024-25","AUG","1601","1272992","Minnesota","0.0013","6 months to 17 years","2024-25, Minnesota: 6 months to 17 years"
"2024-25","NOV",,,"Houston",,"50-64 years","2024-25, Houston: 50-64 years"
"2025-26","OCT",,,"Alaska",,"6 months to 17 years","2025-26, Alaska: 6 months to 17 years"
"2023-24","JAN","159314","1343169","Nevada","0.1186","18-49 years","2023-24, Nevada: 18-49 years"
"2023-24","MAY","14174","49576","South Dakota","0.2859","9-12 years","2023-24, South Dakota: 9-12 years"
"2025-26","NOV","721294","3562700","Kentucky","0.2025","18+ years","2025-26, Kentucky: 18+ years"
"2022-23","OCT","2806","16964","Montana","0.1654","6-23 months","2022-23, Montana: 6-23 months"
"2024-25","AUG","227","73472","Philadelphia","0.0031","9-12 years","2024-25, Philadelphia: 9-12 years"
"2024-25","MAY",,,"Rhode Island",,"50-64 years","2024-25, Rhode Island: 50-64 years"
"2024-25","OCT","1332251","4935427","Florida","0.2699","65+ years","2024-25, Florida: 65+ years"
"2024-25","DEC","11063","48009","Delaware","0.2304","9-12 years","2024-25, Delaware: 9-12 years"
"2022-23","AUG",,,"Kansas",,"18-49 years","2022-23, Kansas: 18-49 years"
"2022-23","AUG","47","19903","N. Mariana Islands","0.0024","18-49 years","2022-23, N. Mariana Islands: 18-49 years"
"2022-23","JAN","20585","102543","Idaho","0.2007","5-8 years","2022-23, Idaho: 5-8 years"
"2023-24","FEB","1873","4229","American Samoa","0.4429","13-17 years","2023-24, American Samoa: 13-17 years"
"2023-24","JAN","43545","249789","Tennessee","0.1743","2-4 years","2023-24, Tennessee: 2-4 years"
"2024-25","APR","12399","105600","Mississippi","0.1174","2-4 years","2024-25, Mississippi: 2-4 years"
"2024-25","JUL","667","2077699","North Carolina","0.0003","50-64 years","2024-25, North Carolina: 50-64 years"
"2022-23","SEP","21141","402876","Maryland","0.0525","13-17 years","2022-23, Maryland: 13-17 years"
"2023-24","JUN","243597","565009","Texas","0.4311","6-23 months","2023-24, Texas: 6-23 months"
"2024-25","JAN","1334582","5288575","Indiana","0.2524","18+ years","2024-25, Indiana: 18+ years"
"2024-25","JUN","350790","1418626","West Virginia","0.2473","18+ years","2024-25, West Virginia: 18+ years"
"2024-25","SEP","10392","18033","Maine","0.5763","6-23 months","2024-25, Maine: 6-23 months"
"2022-23","DEC","253","3973","Marshall Islands","0.0637","65+ years","2022-23, Marshall Islands: 65+ years"
"2023-24","APR","735668","3514450","Louisiana","0.2093","18+ years","2023-24, Louisiana: 18+ years"
"2023-24","DEC","16598","28163","Philadelphia","0.5894","6-23 months","2023-24, Philadelphia: 6-23 months"
"2024-25","APR",,,"Kansas",,"50-64 years","2024-25, Kansas: 50-64 years"
"2025-26","SEP",,,"Tennessee",,"6-23 months","2025-26, Tennessee: 6-23 months"
"2022-23","APR","1154467","2092461","New York State","0.5517","65+ years","2022-23, New York (excluding New York City): 65+ years"
"2022-23","JUN","159523","712371","Oklahoma","0.2239","50-64 years","2022-23, Oklahoma: 50-64 years"
"2022-23","MAR","94867","283223","Colorado","0.335","9-12 years","2022-23, Colorado: 9-12 years"
"2023-24","MAR","174370","978692","Florida","0.1782","9-12 years","2023-24, Florida: 9-12 years"
"2024-25","APR","135724","614064","Illinois","0.221","9-12 years","2024-25, Illinois: 9-12 years"
"2024-25","AUG","336","141062","Utah","0.0024","2-4 years","2024-25, Utah: 2-4 years"
"2024-25","DEC","465522","2294140","New York State","0.2029","50-64 years","2024-25, New York (excluding New York City): 50-64 years"
"2024-25","FEB","1482","5143","N. Mariana Islands","0.2882","13-17 years","2024-25, N. Mariana Islands: 13-17 years"
"2024-25","JUN","262831","1717647","Texas","0.153","9-12 years","2024-25, Texas: 9-12 years"
"2024-25","NOV","90816","574108","Ohio","0.1582","5-8 years","2024-25, Ohio: 5-8 years"
"2022-23","JUN","1424751","4783723","Missouri","0.2978","18+ years","2022-23, Missouri: 18+ years"
"2022-23","MAR","6653","40703","Alaska","0.1635","9-12 years","2022-23, Alaska: 9-12 years"
"2023-24","JAN","13554","63679","South Dakota","0.2128","13-17 years","2023-24, South Dakota: 13-17 years"
"2023-24","JUN","4247","30007","Wyoming","0.1415","9-12 years","2023-24, Wyoming: 9-12 years"
"2023-24","MAR","654981","990361","Minnesota","0.6614","65+ years","2023-24, Minnesota: 65+ years"
"2023-24","MAY","2313","12188","N. Mariana Islands","0.1898","50-64 years","2023-24, N. Mariana Islands: 50-64 years"
"2025-26","NOV",,,"Illinois",,"18-49 years","2025-26, Illinois: 18-49 years"
"2022-23","SEP","12506","337755","Michigan","0.037","2-4 years","2022-23, Michigan: 2-4 years"
"2023-24","JAN",,,"Massachusetts",,"13-17 years","2023-24, Massachusetts: 13-17 years"
"2023-24","NOV","509041","912004","Colorado","0.5582","65+ years","2023-24, Colorado: 65+ years"
"2022-23","JAN","12383","38565","New Hampshire","0.3211","2-4 years","2022-23, New Hampshire: 2-4 years"
"2022-23","OCT","93837","305314","Maine","0.3073","50-64 years","2022-23, Maine: 50-64 years"
"2023-24","MAY","117301","676604","Nevada","0.1734","6 months to 17 years","2023-24, Nevada: 6 months to 17 years"
"2025-26","AUG","2684","775289","Georgia","0.0035","13-17 years","2025-26, Georgia: 13-17 years"
"2025-26","OCT","42407","370784","South Dakota","0.1144","18-49 years","2025-26, South Dakota: 18-49 years"
"2025-26","OCT","50639","372985","North Carolina","0.1358","2-4 years","2025-26, North Carolina: 2-4 years"
"2025-26","OCT","22257","125825","District of Columbia","0.1769","6 months to 17 years","2025-26, District of Columbia: 6 months to 17 years"
"2022-23","JUN","434496","2512908","Missouri","0.1729","18-49 years","2022-23, Missouri: 18-49 years"
"2023-24","APR","1217151","2148185","Illinois","0.5666","65+ years","2023-24, Illinois: 65+ years"
"2023-24","JAN","375650","1197898","Colorado","0.3136","6 months to 17 years","2023-24, Colorado: 6 months to 17 years"
"2024-25","JAN","393131","1939818","California","0.2027","9-12 years","2024-25, California: 9-12 years"
"2024-25","OCT","742","4839","N. Mariana Islands","0.1533","65+ years","2024-25, N. Mariana Islands: 65+ years"
"2024-25","SEP",,,"Nebraska",,"6-23 months","2024-25, Nebraska: 6-23 months"
"2025-26","OCT","113336","354407","Idaho","0.3198","65+ years","2025-26, Idaho: 65+ years"
"2022-23","DEC","74554","472889","Michigan","0.1577","5-8 years","2022-23, Michigan: 5-8 years"
"2022-23","NOV","38895","220764","Missouri","0.1762","2-4 years","2022-23, Missouri: 2-4 years"
"2022-23","NOV",,,"Nebraska",,"6 months to 17 years","2022-23, Nebraska: 6 months to 17 years"
"2023-24","JAN","65828","156348","Connecticut","0.421","5-8 years","2023-24, Connecticut: 5-8 years"
"2023-24","JAN",,,"Kansas",,"5-8 years","2023-24, Kansas: 5-8 years"
"2023-24","JAN","49993","164193","South Dakota","0.3045","50-64 years","2023-24, South Dakota: 50-64 years"
"2024-25","NOV","52702","174513","New York State","0.302","6-23 months","2024-25, New York (excluding New York City): 6-23 months"
"2025-26","DEC",,,"Montana",,"50-64 years","2025-26, Montana: 50-64 years"
"2023-24","JUL","2229","77980","Maine","0.0286","13-17 years","2023-24, Maine: 13-17 years"
"2023-24","MAR","38838","157565","Arkansas","0.2465","9-12 years","2023-24, Arkansas: 9-12 years"
"2023-24","OCT","169","3320","N. Mariana Islands","0.0509","9-12 years","2023-24, N. Mariana Islands: 9-12 years"
"2024-25","APR","14257","28031","Philadelphia","0.5086","6-23 months","2024-25, Philadelphia: 6-23 months"
"2024-25","FEB","537265","1969441","Michigan","0.2728","50-64 years","2024-25, Michigan: 50-64 years"
"2024-25","FEB",,,"Chicago",,"9-12 years","2024-25, Chicago: 9-12 years"
"2022-23","DEC","82993","204199","Illinois","0.4064","6-23 months","2022-23, Illinois: 6-23 months"
"2022-23","JUN","257953","2061801","North Carolina","0.1251","50-64 years","2022-23, North Carolina: 50-64 years"
"2022-23","MAR",,,"Nebraska",,"5-8 years","2022-23, Nebraska: 5-8 years"
"2023-24","JUN","139785","702570","North Carolina","0.199","13-17 years","2023-24, North Carolina: 13-17 years"
"2024-25","AUG","2223","157569","New Jersey","0.0141","6-23 months","2024-25, New Jersey: 6-23 months"
"2024-25","AUG","1262","143485","Vermont","0.0088","65+ years","2024-25, Vermont: 65+ years"
"2025-26","NOV","88537","513815","North Carolina","0.1723","5-8 years","2025-26, North Carolina: 5-8 years"
"2022-23","APR","46138","104510","Wyoming","0.4415","65+ years","2022-23, Wyoming: 65+ years"
"2022-23","JAN","109563","269332","New Hampshire","0.4068","65+ years","2022-23, New Hampshire: 65+ years"
"2022-23","JUN",,,"Rhode Island",,"2-4 years","2022-23, Rhode Island: 2-4 years"
"2024-25","JUL",,,"Kansas",,"6 months to 17 years","2024-25, Kansas: 6 months to 17 years"
"2024-25","NOV",,,"Kansas",,"18+ years","2024-25, Kansas: 18+ years"
"2022-23","FEB","845111","3894498","Texas","0.217","65+ years","2022-23, Texas: 65+ years"
"2022-23","JAN",,,"Massachusetts",,"65+ years","2022-23, Massachusetts: 65+ years"
"2023-24","OCT",,,"Rhode Island",,"2-4 years","2023-24, Rhode Island: 2-4 years"
"2023-24","OCT","98967","600356","Nevada","0.1648","50-64 years","2023-24, Nevada: 50-64 years"
"2023-24","SEP","535","16688","Montana","0.0321","6-23 months","2023-24, Montana: 6-23 months"
"2025-26","JUL",,,"Oregon",,"65+ years","2025-26, Oregon: 65+ years"
"2022-23","DEC","2598869","9154797","Ohio","0.2839","18+ years","2022-23, Ohio: 18+ years"
"2022-23","JUL","96","925848","Utah","0.0001","6 months to 17 years","2022-23, Utah: 6 months to 17 years"
"2024-25","DEC","57976","156941","Connecticut","0.3694","5-8 years","2024-25, Connecticut: 5-8 years"
"2024-25","JUL","2","30070","North Dakota","0.0001","2-4 years","2024-25, North Dakota: 2-4 years"
"2022-23","FEB","354044","1557987","Indiana","0.2272","6 months to 17 years","2022-23, Indiana: 6 months to 17 years"
"2022-23","JUN","39449","116251","Iowa","0.3393","2-4 years","2022-23, Iowa: 2-4 years"
"2022-23","MAR",,,"Chicago",,"5-8 years","2022-23, Chicago: 5-8 years"
"2023-24","AUG","118373","4776747","Florida","0.0248","65+ years","2023-24, Florida: 65+ years"
"2023-24","NOV",,,"South Carolina",,"9-12 years","2023-24, South Carolina: 9-12 years"
"2023-24","OCT","2092","27923","Puerto Rico","0.0749","6-23 months","2023-24, Puerto Rico: 6-23 months"
"2024-25","MAY","257721","1318702","Arizona","0.1954","50-64 years","2024-25, Arizona: 50-64 years"
"2024-25","NOV",,,"South Carolina",,"5-8 years","2024-25, South Carolina: 5-8 years"
"2024-25","SEP",,,"Virginia",,"65+ years","2024-25, Virginia: 65+ years"
"2025-26","DEC","345","2535","Marshall Islands","0.1361","6-23 months","2025-26, Marshall Islands: 6-23 months"
"2023-24","DEC","234","8274","Marshall Islands","0.0283","13-17 years","2023-24, Marshall Islands: 13-17 years"
"2023-24","SEP","0","3901","U.S. Virgin Islands ","0","2-4 years","2023-24, U.S. Virgin Islands : 2-4 years"
"2024-25","APR","676985","1982945","New Jersey","0.3414","6 months to 17 years","2024-25, New Jersey: 6 months to 17 years"
"2024-25","MAR","2312542","7961410","Michigan","0.2905","18+ years","2024-25, Michigan: 18+ years"
"2025-26","AUG",,,"Philadelphia",,"50-64 years","2025-26, Philadelphia: 50-64 years"
"2025-26","DEC",,,"Pennsylvania",,"5-8 years","2025-26, Pennsylvania (excluding Philadelphia County): 5-8 years"
